epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1743.94,1.3422,0.85586,0.91615,0.8231,0.46261,0.65254,0.43741,1.20858,0.83403,0.90825,0.0881818,0.00062201,0.00062201
2,3488.56,1.36021,0.86831,0.91931,0.82725,0.44036,0.64356,0.43244,1.22182,0.83889,0.90584,0.0763049,0.00124511,0.00124511
3,5218.84,1.3526,0.86967,0.91765,0.80092,0.42343,0.62084,0.41072,1.2335,0.86371,0.90761,0.0644204,0.0018606,0.0018606
4,6961.21,1.38187,0.89068,0.92323,0.82829,0.41105,0.62398,0.41955,1.2314,0.87768,0.90833,0.0525227,0.00246286,0.00246286
5,8694.31,1.38325,0.89084,0.92175,0.79597,0.39445,0.6007,0.40368,1.25007,0.90664,0.91456,0.0406062,0.00304637,0.00304637
6,10400.6,1.38805,0.90207,0.92436,0.74325,0.46979,0.61849,0.38698,1.26984,0.83548,0.91288,0.0286656,0.00360582,0.00360582
7,12103.6,1.42237,0.93587,0.93131,0.79099,0.37978,0.59148,0.39478,1.25455,0.90978,0.91543,0.0166959,0.00413613,0.00413613
8,13807.3,1.43918,0.95025,0.93559,0.79138,0.39131,0.59506,0.37592,1.3156,0.89475,0.9247,0.00469232,0.00463251,0.00463251
9,15519.3,1.46108,0.9792,0.94199,0.73216,0.4162,0.5782,0.37734,1.24076,0.88871,0.90926,0.00452732,0.00452732,0.00452732
10,17230.9,1.44987,0.98095,0.94137,0.73787,0.4048,0.57812,0.37013,1.27645,0.91743,0.91539,0.004407,0.004407,0.004407
11,18933,1.46592,1.00003,0.94123,0.7698,0.39383,0.58537,0.38083,1.24003,0.87683,0.90984,0.00427509,0.00427509,0.00427509
12,20641.4,1.46391,0.98612,0.94162,0.72993,0.42509,0.58468,0.36971,1.25732,0.85467,0.90917,0.00413238,0.00413238,0.00413238
13,22348.2,1.44677,0.97518,0.94025,0.72804,0.37437,0.55752,0.35772,1.30306,0.9546,0.92028,0.00397977,0.00397977,0.00397977
14,24055.1,1.43703,0.96869,0.93807,0.75302,0.40539,0.58605,0.38427,1.27212,0.87547,0.91718,0.00381818,0.00381818,0.00381818
15,25769.9,1.43628,0.95702,0.93748,0.76011,0.33976,0.55478,0.36791,1.28644,0.95671,0.92401,0.00364863,0.00364863,0.00364863
16,27488.1,1.43294,0.953,0.93315,0.75498,0.39799,0.58548,0.37885,1.27002,0.86895,0.91987,0.00347214,0.00347214,0.00347214
17,29193.2,1.40359,0.93349,0.93186,0.74353,0.44636,0.60378,0.39241,1.25523,0.86801,0.91097,0.00328982,0.00328982,0.00328982
18,30909.4,1.43086,0.95116,0.93237,0.80757,0.45048,0.63549,0.41943,1.2078,0.83559,0.89857,0.00310278,0.00310278,0.00310278
19,32619.8,1.40276,0.91776,0.92677,0.78817,0.44195,0.62668,0.41189,1.21575,0.81846,0.90195,0.00291218,0.00291218,0.00291218
20,34326.6,1.39889,0.9129,0.92651,0.77638,0.41195,0.60234,0.39691,1.25418,0.88507,0.91068,0.00271919,0.00271919,0.00271919
21,36041.3,1.39023,0.9022,0.92723,0.77268,0.45067,0.62477,0.41959,1.20438,0.8295,0.90335,0.002525,0.002525,0.002525
