epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,254.155,1.65193,1.27716,1.00225,0.36471,0.25677,0.31525,0.2069,1.40847,1.133,0.95108,0.0673976,0.000329317,0.000329317
2,507.741,1.67145,1.26768,0.99985,0.48174,0.23065,0.36719,0.24106,1.44132,1.10551,0.95307,0.0343936,0.000658612,0.000658612
3,754.609,1.61155,1.24232,0.99218,0.53423,0.21678,0.38257,0.26494,1.47846,1.14826,0.96104,0.00137346,0.000971854,0.000971854
4,1003.56,1.63143,1.25283,1.00098,0.36435,0.25345,0.32144,0.19876,1.46731,1.15648,0.95777,0.000946048,0.000946048,0.000946048
5,1254.36,1.66327,1.26409,0.99739,0.53375,0.24862,0.40042,0.25228,1.41066,1.05747,0.95337,0.000905463,0.000905463,0.000905463
6,1505.71,1.60065,1.22258,0.98991,0.49167,0.25039,0.38239,0.25715,1.39765,1.07461,0.9515,0.000855018,0.000855018,0.000855018
7,1754.89,1.60844,1.23033,0.99777,0.48277,0.26527,0.38147,0.2543,1.38665,1.05119,0.9558,0.000795954,0.000795954,0.000795954
8,2003.18,1.57144,1.19056,0.98575,0.51302,0.28557,0.4123,0.27572,1.36536,1.03615,0.9465,0.000729725,0.000729725,0.000729725
9,2256.99,1.58169,1.17911,0.98341,0.52937,0.27011,0.40809,0.27566,1.33545,1.01144,0.93247,0.000657963,0.000657963,0.000657963
10,2508.41,1.54304,1.15683,0.97899,0.5498,0.27451,0.42294,0.28877,1.32189,0.97198,0.93415,0.000582435,0.000582435,0.000582435
11,2740.67,1.4502,1.10183,0.97152,0.51867,0.28263,0.41442,0.28221,1.30728,0.9715,0.93173,0.000505,0.000505,0.000505
12,2973.07,1.40806,1.05401,0.97012,0.54161,0.28422,0.42301,0.28793,1.31173,0.96599,0.93302,0.000427565,0.000427565,0.000427565
13,3208.32,1.45276,1.10027,0.97609,0.49888,0.29666,0.41094,0.28041,1.29178,0.94772,0.92678,0.000352037,0.000352037,0.000352037
14,3443.54,1.40184,1.04135,0.96085,0.4867,0.30808,0.41288,0.27872,1.27655,0.92946,0.92028,0.000280275,0.000280275,0.000280275
15,3674.85,1.3866,1.02576,0.96105,0.52371,0.29016,0.41795,0.2821,1.30585,0.94405,0.93262,0.000214046,0.000214046,0.000214046
16,3911.13,1.35117,0.99608,0.95061,0.5396,0.29592,0.42856,0.29729,1.2479,0.90865,0.91766,0.000154982,0.000154982,0.000154982
17,4144.45,1.3651,1.01027,0.95388,0.52572,0.31445,0.43361,0.30178,1.23303,0.88915,0.91495,0.000104537,0.000104537,0.000104537
18,4378.82,1.35728,1.0018,0.95163,0.53299,0.31714,0.4386,0.30505,1.22556,0.88465,0.91234,6.39518e-05,6.39518e-05,6.39518e-05
19,4613.24,1.34292,0.98807,0.94807,0.52388,0.31638,0.4326,0.29899,1.22965,0.88532,0.91364,3.4227e-05,3.4227e-05,3.4227e-05
20,4844.31,1.33816,0.981,0.94835,0.53085,0.31562,0.43585,0.30404,1.21801,0.88078,0.9112,1.60943e-05,1.60943e-05,1.60943e-05
