epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,474.995,1.41379,0.89046,0.93054,0.68146,0.2763,0.48037,0.31957,1.30037,0.83947,0.92103,0.0836589,0.000131783,0.000131783
2,945.95,1.36201,0.86636,0.92413,0.68648,0.26854,0.47941,0.32752,1.29044,0.8215,0.9255,0.0671249,0.000264391,0.000264391
3,1414.47,1.36837,0.86906,0.92548,0.80674,0.25338,0.52912,0.35838,1.32428,0.88971,0.92998,0.0505879,0.0003941,0.0003941
4,1884.18,1.39472,0.90396,0.93302,0.65884,0.30635,0.47976,0.31468,1.29647,0.86187,0.92635,0.0340459,0.000518782,0.000518782
5,2352.23,1.40366,0.89491,0.93281,0.67052,0.26493,0.46787,0.30124,1.34789,0.8562,0.93189,0.0174969,0.000636394,0.000636394
6,2824.02,1.37941,0.86951,0.93209,0.75566,0.26476,0.50941,0.34328,1.30662,0.84091,0.92953,0.000938816,0.000745017,0.000745017
7,3292.04,1.42178,0.90422,0.93281,0.74893,0.26967,0.51087,0.33873,1.30661,0.84477,0.92997,0.000723683,0.000723683,0.000723683
8,3760.61,1.40523,0.8899,0.9393,0.70274,0.20165,0.45648,0.29787,1.45787,1.00359,0.97032,0.000697361,0.000697361,0.000697361
9,4232.58,1.43301,0.91196,0.93625,0.71726,0.25661,0.48723,0.31041,1.38332,0.88123,0.94133,0.000667785,0.000667785,0.000667785
10,4708.33,1.38502,0.8793,0.93252,0.74299,0.27948,0.50864,0.34562,1.29543,0.85473,0.92216,0.000635279,0.000635279,0.000635279
11,5175.43,1.36215,0.86524,0.92917,0.68136,0.29299,0.48751,0.33221,1.29273,0.82191,0.92426,0.0006002,0.0006002,0.0006002
12,5642.46,1.35474,0.84449,0.92184,0.73663,0.27664,0.50607,0.34077,1.27674,0.80932,0.92519,0.000562932,0.000562932,0.000562932
13,6116.83,1.35228,0.85049,0.92461,0.75774,0.21915,0.48807,0.32159,1.39006,0.89906,0.94933,0.000523883,0.000523883,0.000523883
14,6581.88,1.34264,0.84576,0.92806,0.7568,0.29415,0.52489,0.34194,1.27902,0.80605,0.92108,0.000483482,0.000483482,0.000483482
15,7051.63,1.35171,0.84112,0.92564,0.78715,0.28972,0.53881,0.36438,1.24977,0.77288,0.91786,0.00044217,0.00044217,0.00044217
16,7519.1,1.3422,0.83966,0.92225,0.81535,0.30111,0.55869,0.36727,1.27221,0.78014,0.9202,0.0004004,0.0004004,0.0004004
17,7988.67,1.34477,0.82485,0.91861,0.77674,0.32027,0.55051,0.36361,1.24297,0.76636,0.91271,0.00035863,0.00035863,0.00035863
18,8457.9,1.29669,0.79193,0.9201,0.75071,0.30716,0.53015,0.36042,1.21358,0.75175,0.91002,0.000317318,0.000317318,0.000317318
19,8924.43,1.28844,0.79103,0.91075,0.7999,0.31174,0.55675,0.3803,1.22143,0.73773,0.90994,0.000276917,0.000276917,0.000276917
20,9397.51,1.30412,0.79527,0.91472,0.80372,0.33201,0.57098,0.38881,1.22431,0.741,0.90963,0.000237868,0.000237868,0.000237868
21,9859.26,1.22745,0.7468,0.91606,0.83292,0.31942,0.57709,0.37566,1.25819,0.76072,0.91797,0.0002006,0.0002006,0.0002006
22,10316.8,1.20515,0.7197,0.91155,0.82617,0.33327,0.57929,0.3857,1.23968,0.7339,0.9136,0.000165521,0.000165521,0.000165521
23,10777.6,1.17973,0.70453,0.90738,0.83503,0.3213,0.57923,0.3858,1.20832,0.71625,0.90522,0.000133015,0.000133015,0.000133015
24,11242,1.20662,0.72289,0.91471,0.81797,0.34926,0.58601,0.39298,1.2165,0.71551,0.90628,0.000103439,0.000103439,0.000103439
25,11702.1,1.18439,0.69812,0.9042,0.81649,0.36074,0.58936,0.38912,1.1974,0.70619,0.90438,7.71168e-05,7.71168e-05,7.71168e-05
26,12157.5,1.18359,0.69512,0.90192,0.83161,0.34948,0.59133,0.39104,1.19674,0.70462,0.90233,5.43362e-05,5.43362e-05,5.43362e-05
27,12621.8,1.17707,0.69063,0.90386,0.82378,0.35136,0.58959,0.39493,1.18001,0.69446,0.90084,3.53472e-05,3.53472e-05,3.53472e-05
28,13088.5,1.15792,0.68388,0.89725,0.82631,0.34934,0.58988,0.39449,1.18927,0.69726,0.90185,2.03578e-05,2.03578e-05,2.03578e-05
29,13545.7,1.1523,0.67083,0.89974,0.82493,0.35468,0.59151,0.39402,1.18772,0.69546,0.90173,9.53222e-06,9.53222e-06,9.53222e-06
30,14001.7,1.16087,0.67313,0.90336,0.82342,0.35534,0.5912,0.39549,1.18665,0.69465,0.9018,2.98905e-06,2.98905e-06,2.98905e-06
