epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,254.804,1.30474,0.9508,0.93032,0.65088,0.41335,0.55466,0.37712,1.13409,0.81951,0.89587,0.0882681,0.00061747,0.00061747
2,509.703,1.29346,0.93406,0.92418,0.62641,0.42071,0.54632,0.36797,1.17549,0.83552,0.90177,0.0763882,0.00123757,0.00123757
3,762.119,1.26166,0.92147,0.91765,0.58642,0.43955,0.53815,0.36559,1.13371,0.82583,0.89941,0.0644887,0.00183814,0.00183814
4,1015.71,1.28087,0.92369,0.92308,0.64546,0.41643,0.55178,0.3737,1.15734,0.83604,0.90128,0.0525556,0.00240496,0.00240496
5,1269.97,1.34683,0.96278,0.92891,0.64589,0.39093,0.53339,0.35284,1.21711,0.90855,0.91544,0.0405753,0.00292468,0.00292468
6,1525.75,1.33682,0.95137,0.93057,0.62069,0.34947,0.49864,0.33479,1.23489,0.95142,0.92569,0.0285357,0.00338513,0.00338513
7,1777.78,1.361,0.97597,0.93965,0.59762,0.41533,0.52345,0.34411,1.25083,0.88681,0.92336,0.0164263,0.00377567,0.00377567
8,2027.95,1.37214,0.96909,0.93642,0.60229,0.42367,0.53637,0.35678,1.19628,0.85813,0.9093,0.00423809,0.00408749,0.00408749
9,2284.31,1.36786,0.96334,0.93294,0.60989,0.41965,0.53768,0.3527,1.20882,0.86857,0.91454,0.00383968,0.00383968,0.00383968
10,2538.88,1.33355,0.94986,0.93369,0.60403,0.42805,0.53467,0.35885,1.18238,0.85426,0.9095,0.00356459,0.00356459,0.00356459
11,2790.44,1.32935,0.94755,0.93002,0.55035,0.4247,0.50861,0.32556,1.2733,0.88882,0.92618,0.00327272,0.00327272,0.00327272
12,3043.74,1.30813,0.93393,0.92527,0.62697,0.40941,0.54154,0.3678,1.1657,0.85246,0.9079,0.00296866,0.00296866,0.00296866
13,3301.12,1.30521,0.93621,0.92718,0.62136,0.43781,0.55268,0.36943,1.17979,0.83231,0.90802,0.00265721,0.00265721,0.00265721
14,3557.08,1.30514,0.93171,0.92783,0.64309,0.42031,0.55483,0.37852,1.13857,0.82012,0.89963,0.00234329,0.00234329,0.00234329
15,3812.88,1.30054,0.93013,0.92424,0.64257,0.42245,0.55578,0.37743,1.14913,0.82012,0.90482,0.00203184,0.00203184,0.00203184
16,4049.18,1.18412,0.87224,0.91615,0.60223,0.43198,0.53975,0.36961,1.1288,0.82373,0.90172,0.00172778,0.00172778,0.00172778
17,4288.14,1.18854,0.87104,0.91868,0.61712,0.4215,0.5391,0.36903,1.14731,0.83008,0.90384,0.00143591,0.00143591,0.00143591
18,4524.57,1.18135,0.86525,0.91653,0.62386,0.43874,0.55876,0.38202,1.12041,0.81628,0.89742,0.00116082,0.00116082,0.00116082
19,4760.69,1.1697,0.85996,0.91724,0.61602,0.45609,0.56435,0.38596,1.1006,0.79344,0.89335,0.000906849,0.000906849,0.000906849
20,4998.22,1.15247,0.83717,0.91239,0.63019,0.45442,0.56747,0.38897,1.09937,0.78661,0.89161,0.000678011,0.000678011,0.000678011
21,5232.16,1.19127,0.87348,0.92,0.63109,0.45492,0.5678,0.39214,1.08587,0.78327,0.88939,0.00047791,0.00047791,0.00047791
22,5468.53,1.16992,0.84533,0.91465,0.62847,0.46019,0.57068,0.3926,1.08542,0.78205,0.88955,0.000309702,0.000309702,0.000309702
23,5704.78,1.1875,0.85663,0.91666,0.62733,0.46494,0.57241,0.39415,1.07935,0.77545,0.88805,0.000176041,0.000176041,0.000176041
24,5942.76,1.16626,0.84436,0.91107,0.63148,0.46654,0.57636,0.39724,1.07715,0.77312,0.88784,7.90342e-05,7.90342e-05,7.90342e-05
25,6181.33,1.17835,0.85609,0.91682,0.63585,0.46244,0.57465,0.39689,1.07821,0.77366,0.88814,2.02113e-05,2.02113e-05,2.02113e-05
