epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,242.155,1.22571,0.8953,0.93045,0.83371,0.32419,0.58543,0.4194,1.11681,0.80023,0.89596,0.0882681,0.00061747,0.00061747
2,483.317,1.20448,0.87191,0.92115,0.81136,0.33001,0.57613,0.4099,1.1222,0.80788,0.89565,0.0763627,0.00121207,0.00121207
3,724.589,1.18599,0.86398,0.92113,0.81412,0.31516,0.5707,0.40048,1.17992,0.85399,0.9074,0.0643398,0.00168916,0.00168916
4,963.011,1.22438,0.88892,0.9264,0.84769,0.29487,0.57398,0.40489,1.16066,0.85678,0.90512,0.0521294,0.0019788,0.0019788
5,1201.09,1.2098,0.88763,0.92963,0.82944,0.32149,0.58358,0.41221,1.16202,0.83489,0.90553,0.0396911,0.00204052,0.00204052
6,1442.98,1.20719,0.87676,0.92517,0.83796,0.33303,0.59213,0.41647,1.14222,0.82223,0.89734,0.027022,0.00187142,0.00187142
7,1682.87,1.23032,0.88993,0.92654,0.81307,0.33988,0.58487,0.41894,1.11579,0.80481,0.89543,0.0141598,0.00150921,0.00150921
8,1920.85,1.1979,0.86477,0.92135,0.84026,0.35121,0.60201,0.43277,1.10459,0.77685,0.89061,0.00117998,0.00102938,0.00102938
9,2160.69,1.17205,0.8439,0.9136,0.83883,0.35721,0.60593,0.43423,1.08821,0.76903,0.88856,0.00047791,0.00047791,0.00047791
10,2399.24,1.15745,0.83475,0.91119,0.83209,0.36772,0.60812,0.43648,1.07522,0.76582,0.88578,0.000122846,0.000122846,0.000122846
