epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.744,1.45667,1.04634,0.9535,0.5769,0.31112,0.44754,0.28589,1.38265,0.97889,0.93002,0.0673976,0.000329317,0.000329317
2,507.037,1.48703,1.05004,0.95469,0.53097,0.30319,0.42919,0.28017,1.29805,0.93546,0.92646,0.034395,0.000660064,0.000660064
3,756.378,1.43322,1.02981,0.94772,0.56123,0.33816,0.46675,0.29431,1.27562,0.92586,0.91645,0.0013821,0.000980495,0.000980495
4,1007.02,1.4544,1.05398,0.95607,0.49994,0.29637,0.40666,0.26411,1.33404,0.98112,0.93079,0.000965239,0.000965239,0.000965239
5,1260.36,1.50478,1.07594,0.95896,0.66655,0.30319,0.49363,0.30531,1.38859,0.95361,0.94353,0.000938772,0.000938772,0.000938772
6,1510.72,1.46303,1.05636,0.95551,0.50522,0.34405,0.43791,0.28485,1.29063,0.91099,0.92554,0.000905463,0.000905463,0.000905463
7,1761.53,1.46641,1.06648,0.96161,0.55413,0.30718,0.43671,0.28769,1.28974,0.95678,0.92764,0.000865839,0.000865839,0.000865839
8,2010.72,1.44909,1.04631,0.95404,0.55007,0.32387,0.44519,0.29663,1.26276,0.89321,0.92046,0.000820525,0.000820525,0.000820525
9,2265,1.45792,1.04495,0.953,0.58861,0.36382,0.49072,0.30783,1.27038,0.8994,0.91889,0.000770234,0.000770234,0.000770234
10,2515.25,1.42587,1.03006,0.94991,0.59362,0.32552,0.4724,0.30163,1.28011,0.88767,0.92354,0.000715761,0.000715761,0.000715761
11,2764.96,1.41279,1.00995,0.94558,0.61745,0.36922,0.51041,0.34197,1.20851,0.86331,0.9074,0.000657963,0.000657963,0.000657963
12,3016.93,1.39928,0.99494,0.94046,0.65614,0.35767,0.52395,0.34942,1.22099,0.861,0.90997,0.000597754,0.000597754,0.000597754
13,3269.15,1.39924,0.99207,0.94269,0.59211,0.34918,0.48603,0.3184,1.22161,0.88547,0.90966,0.000536081,0.000536081,0.000536081
14,3519.81,1.40517,0.99172,0.94219,0.63949,0.34406,0.51225,0.33821,1.22222,0.85493,0.90892,0.000473919,0.000473919,0.000473919
15,3770.32,1.40496,0.98916,0.93853,0.63666,0.37565,0.51801,0.34166,1.17378,0.81589,0.8996,0.000412246,0.000412246,0.000412246
16,4003.91,1.30545,0.93279,0.93652,0.68775,0.33722,0.52745,0.35826,1.21146,0.84878,0.90631,0.000352037,0.000352037,0.000352037
17,4239.2,1.29524,0.92231,0.93647,0.61741,0.36935,0.5094,0.34526,1.17261,0.8144,0.90125,0.000294239,0.000294239,0.000294239
18,4472.77,1.28013,0.91268,0.93299,0.60644,0.39344,0.52266,0.35052,1.15682,0.80489,0.89726,0.000239766,0.000239766,0.000239766
19,4706.36,1.26611,0.90145,0.93175,0.61831,0.38208,0.52114,0.35041,1.16212,0.8013,0.89675,0.000189475,0.000189475,0.000189475
20,4941.33,1.23916,0.8756,0.92602,0.65501,0.3812,0.53698,0.36433,1.14317,0.78917,0.89449,0.000144161,0.000144161,0.000144161
21,5175.65,1.27575,0.90088,0.93161,0.63366,0.39024,0.53291,0.36039,1.13796,0.78393,0.89256,0.000104537,0.000104537,0.000104537
22,5409.07,1.23957,0.86592,0.92202,0.64157,0.39114,0.537,0.36162,1.13798,0.77947,0.89151,7.12282e-05,7.12282e-05,7.12282e-05
23,5643.43,1.25394,0.8801,0.9241,0.64168,0.39653,0.53882,0.36432,1.13846,0.77964,0.89178,4.47606e-05,4.47606e-05,4.47606e-05
24,5877.64,1.22838,0.85971,0.91846,0.63752,0.39493,0.53584,0.36482,1.12938,0.77691,0.8912,2.55513e-05,2.55513e-05,2.55513e-05
25,6112.06,1.23968,0.87116,0.92399,0.64049,0.39422,0.5379,0.36578,1.13257,0.77767,0.89133,1.39032e-05,1.39032e-05,1.39032e-05
