epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1686.25,2.78022,2.94535,1.45018,0.38052,0.05879,0.21902,0.15442,1.90321,1.67394,1.0978,0.0881606,0.000623129,0.000623129
2,3357.07,2.14133,1.82989,1.16493,0.46973,0.19165,0.32991,0.20013,1.59079,1.26776,1.01083,0.0762821,0.00124471,0.00124471
3,5026.85,1.99399,1.67086,1.11243,0.53648,0.1492,0.34402,0.21013,1.70423,1.26156,1.01508,0.0643901,0.00185266,0.00185266
4,6686.57,1.96318,1.63708,1.09667,0.53626,0.21061,0.37112,0.23659,1.48494,1.12764,0.96959,0.0524744,0.002437,0.002437
5,8353.25,1.91439,1.57838,1.07423,0.50163,0.23794,0.36745,0.23341,1.46676,1.08719,0.96034,0.0405256,0.00298814,0.00298814
6,10019.1,1.92217,1.57476,1.0694,0.52799,0.23207,0.37412,0.23583,1.45689,1.09663,0.96183,0.0285345,0.00349708,0.00349708
7,11686.4,1.89451,1.54884,1.06078,0.61039,0.25053,0.42908,0.27651,1.37044,1.04024,0.94077,0.016493,0.00395557,0.00395557
8,13357.2,1.91852,1.57685,1.06417,0.60047,0.21344,0.40764,0.25656,1.46903,1.13925,0.95961,0.00439372,0.0043563,0.0043563
9,15027.7,1.8983,1.53799,1.05863,0.61154,0.16074,0.38672,0.24867,1.55576,1.29692,0.98716,0.00417291,0.00417291,0.00417291
10,16702.7,1.86703,1.52108,1.05245,0.60816,0.19142,0.39862,0.25077,1.52263,1.08897,0.97319,0.00396957,0.00396957,0.00396957
11,18385.4,1.84022,1.47022,1.03724,0.59091,0.18741,0.38736,0.25558,1.41234,1.20399,0.95854,0.00375013,0.00375013,0.00375013
12,20052.6,1.8043,1.43917,1.02949,0.67244,0.24258,0.45695,0.28763,1.45257,1.02367,0.95563,0.00351699,0.00351699,0.00351699
13,21722.6,1.77704,1.41925,1.02637,0.63257,0.15464,0.3932,0.23873,1.73403,1.44714,1.01613,0.00327272,0.00327272,0.00327272
14,23399.8,1.77044,1.40517,1.01961,0.64683,0.26673,0.45711,0.29693,1.32408,0.99391,0.92857,0.00301998,0.00301998,0.00301998
15,25066.3,1.73417,1.35671,1.00869,0.67704,0.25941,0.46099,0.2897,1.33544,1.03818,0.92905,0.00276155,0.00276155,0.00276155
16,26740.7,1.69635,1.31047,1.00095,0.70388,0.30736,0.50357,0.32248,1.26938,0.96248,0.9144,0.00250025,0.00250025,0.00250025
17,28407.5,1.68833,1.32724,1.00416,0.75124,0.25773,0.50245,0.3281,1.26403,1.01855,0.91385,0.00223895,0.00223895,0.00223895
18,30088.1,1.68581,1.32612,1.00144,0.74372,0.31298,0.52872,0.34012,1.24336,0.90885,0.90775,0.00198052,0.00198052,0.00198052
19,31767.3,1.64066,1.25628,0.98709,0.72378,0.35618,0.53387,0.3361,1.26019,0.8813,0.90971,0.00172778,0.00172778,0.00172778
20,33441.7,1.61456,1.23082,0.9822,0.76324,0.3113,0.53486,0.345,1.25127,0.93942,0.91089,0.00148351,0.00148351,0.00148351
21,35077.6,1.54462,1.18273,0.99333,0.75043,0.25152,0.49966,0.32441,1.33301,1.01269,0.92037,0.00125038,0.00125038,0.00125038
22,36710.4,1.52865,1.16386,0.99121,0.7492,0.38335,0.5654,0.36258,1.23719,0.84601,0.90417,0.00103093,0.00103093,0.00103093
23,38331,1.49365,1.12162,0.98006,0.7611,0.3696,0.56364,0.36277,1.21018,0.8445,0.8995,0.000827591,0.000827591,0.000827591
24,39962.9,1.48196,1.10853,0.9798,0.76647,0.3982,0.58031,0.37895,1.2211,0.82006,0.90537,0.000642574,0.000642574,0.000642574
25,41592.2,1.46995,1.08527,0.976,0.76027,0.41138,0.58807,0.37421,1.20083,0.84345,0.89962,0.00047791,0.00047791,0.00047791
26,43224.2,1.45343,1.06355,0.97089,0.76936,0.39781,0.58432,0.38131,1.19543,0.84649,0.89837,0.000335403,0.000335403,0.000335403
27,44857.9,1.46103,1.06707,0.9729,0.73718,0.42032,0.58135,0.37379,1.19902,0.84174,0.89952,0.000216615,0.000216615,0.000216615
28,46493.9,1.4459,1.04792,0.96779,0.75637,0.40298,0.58257,0.37855,1.20601,0.84376,0.90072,0.000122846,0.000122846,0.000122846
29,48125.2,1.44303,1.0405,0.96601,0.75081,0.40399,0.58039,0.37814,1.19505,0.84718,0.89949,5.51255e-05,5.51255e-05,5.51255e-05
30,49757.9,1.42982,1.02293,0.96437,0.75434,0.40003,0.58024,0.37566,1.20533,0.84966,0.90105,1.41939e-05,1.41939e-05,1.41939e-05
