epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2547.24,1.24173,0.74984,0.91174,0.83998,0.49771,0.68267,0.45948,1.25965,0.91747,0.9209,0.0881478,0.000623798,0.000623798
2,5087.61,1.24528,0.74944,0.91069,0.84319,0.49268,0.68087,0.45592,1.26418,0.92937,0.9182,0.0762426,0.00121854,0.00121854
3,7623.7,1.25279,0.75724,0.91216,0.8336,0.4972,0.67924,0.45038,1.27753,0.9255,0.92127,0.0642207,0.00169666,0.00169666
4,10157.7,1.26859,0.76978,0.91654,0.85766,0.49173,0.68524,0.46688,1.22387,0.92827,0.91372,0.052013,0.00198893,0.00198893
5,12701.4,1.26617,0.7698,0.9149,0.83911,0.48904,0.6773,0.4546,1.25763,0.92269,0.91726,0.0395794,0.00205534,0.00205534
6,15244.3,1.26663,0.77342,0.91566,0.84864,0.47782,0.67379,0.45818,1.22536,0.95058,0.91264,0.0269172,0.00189314,0.00189314
7,17774.6,1.25231,0.76128,0.91427,0.8492,0.49886,0.68533,0.46186,1.23692,0.9064,0.91483,0.0140638,0.00153974,0.00153974
8,20297.5,1.23964,0.7522,0.91141,0.84774,0.48756,0.68039,0.45876,1.26689,0.93221,0.92304,0.00109401,0.00106997,0.00106997
9,22822.2,1.22341,0.73664,0.90666,0.84417,0.49762,0.68451,0.46512,1.24751,0.9327,0.91712,0.000522683,0.000522683,0.000522683
10,25347.2,1.20512,0.72639,0.90475,0.85102,0.49623,0.68686,0.46556,1.24491,0.93363,0.91722,0.000171135,0.000171135,0.000171135
