epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,473.666,1.26225,0.74911,0.89729,0.81654,0.34145,0.58101,0.39296,1.2561,0.77044,0.9176,0.0836589,0.000131783,0.000131783
2,943.237,1.19572,0.70303,0.88502,0.77721,0.36897,0.58144,0.37301,1.28396,0.75631,0.91446,0.0671227,0.000262222,0.000262222
3,1412.21,1.20525,0.70384,0.88601,0.79954,0.38372,0.58989,0.39795,1.18787,0.7298,0.90442,0.050575,0.000381243,0.000381243
4,1887.79,1.21732,0.72007,0.89201,0.76228,0.39955,0.58637,0.38376,1.23129,0.74228,0.91008,0.0340082,0.000481053,0.000481053
5,2353.32,1.20468,0.70437,0.88683,0.81416,0.36182,0.58937,0.39267,1.20716,0.73593,0.90606,0.0174157,0.000555193,0.000555193
6,2811.66,1.17597,0.69479,0.89704,0.74714,0.37819,0.56352,0.37432,1.25422,0.7517,0.9168,0.000792835,0.000599037,0.000599037
7,3270.13,1.18549,0.69767,0.90037,0.792,0.40297,0.60297,0.39477,1.20255,0.72741,0.90872,0.000523883,0.000523883,0.000523883
8,3726.98,1.18733,0.69179,0.9028,0.85071,0.35162,0.60098,0.40504,1.21154,0.71524,0.90433,0.00044217,0.00044217,0.00044217
9,4187.68,1.16065,0.6646,0.89575,0.83576,0.39964,0.62071,0.41637,1.19653,0.68967,0.90589,0.00035863,0.00035863,0.00035863
10,4647.82,1.16015,0.66278,0.89527,0.83823,0.40119,0.62242,0.42948,1.15716,0.67315,0.89695,0.000276917,0.000276917,0.000276917
11,5105.9,1.11004,0.63407,0.88568,0.85126,0.43023,0.64546,0.437,1.15605,0.66298,0.89424,0.0002006,0.0002006,0.0002006
12,5570.55,1.12977,0.63753,0.88766,0.82644,0.40691,0.62141,0.41908,1.19214,0.67804,0.90196,0.000133015,0.000133015,0.000133015
13,6029.07,1.10339,0.6186,0.88056,0.85768,0.41972,0.64085,0.4347,1.15437,0.65336,0.89395,7.71168e-05,7.71168e-05,7.71168e-05
14,6495.03,1.09428,0.61545,0.88465,0.85158,0.43144,0.64522,0.43587,1.15217,0.64751,0.89395,3.53472e-05,3.53472e-05,3.53472e-05
15,6953.67,1.09385,0.61534,0.88322,0.85352,0.42757,0.64461,0.43777,1.14686,0.64574,0.89299,9.53222e-06,9.53222e-06,9.53222e-06
