epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.312,2.90412,4.28293,1.53692,0,0,0,0,2.87851,3.71228,1.278,0.0882681,0.00061747,0.00061747
2,504.265,2.40877,3.15892,1.25292,0.10303,0.01878,0.05697,0.03849,2.12468,2.75466,1.17255,0.0763882,0.00123757,0.00123757
3,754.585,2.117,2.43853,1.16683,0.11262,0.09367,0.10202,0.06374,1.82236,2.05695,1.09956,0.0644887,0.00183814,0.00183814
4,1006.56,2.01861,2.12845,1.14143,0.15117,0.0859,0.11653,0.07774,1.78687,1.95057,1.08238,0.0525556,0.00240496,0.00240496
5,1260.39,2.02771,1.98988,1.12318,0.26304,0.11918,0.18741,0.12983,1.63667,1.72615,1.03556,0.0405753,0.00292468,0.00292468
6,1510.33,1.93544,1.84532,1.10254,0.27512,0.13155,0.20315,0.12887,1.69422,1.65846,1.03829,0.0285357,0.00338513,0.00338513
7,1758.58,1.93031,1.78729,1.10363,0.27292,0.1364,0.20124,0.12455,1.79253,1.65501,1.1,0.0164263,0.00377567,0.00377567
8,2005.72,1.89994,1.69849,1.08818,0.32275,0.15249,0.23699,0.1483,1.69823,1.5026,1.05034,0.00423809,0.00408749,0.00408749
9,2257.89,1.87573,1.63267,1.07663,0.30152,0.19889,0.25366,0.15666,1.61695,1.41724,1.0084,0.00383968,0.00383968,0.00383968
10,2505.7,1.79774,1.57431,1.065,0.34048,0.20204,0.27611,0.17812,1.52706,1.35556,0.99499,0.00356459,0.00356459,0.00356459
11,2755.77,1.758,1.50007,1.04849,0.33818,0.22134,0.28165,0.17989,1.51427,1.38114,0.99171,0.00327272,0.00327272,0.00327272
12,3004.12,1.71574,1.44683,1.03619,0.37042,0.22398,0.30051,0.19521,1.44798,1.26754,0.97608,0.00296866,0.00296866,0.00296866
13,3254.2,1.71244,1.4412,1.03696,0.48675,0.22811,0.35762,0.23595,1.4751,1.24964,0.98539,0.00265721,0.00265721,0.00265721
14,3504.59,1.69345,1.41729,1.03225,0.42432,0.22092,0.32975,0.22505,1.43746,1.22849,0.97208,0.00234329,0.00234329,0.00234329
15,3754.94,1.68154,1.39353,1.023,0.45055,0.25256,0.35812,0.24594,1.38983,1.17446,0.96248,0.00203184,0.00203184,0.00203184
16,3989.69,1.5305,1.32655,1.01241,0.48543,0.21187,0.35313,0.23833,1.44192,1.24925,0.97489,0.00172778,0.00172778,0.00172778
17,4224.42,1.51591,1.30614,1.01159,0.44544,0.26199,0.35748,0.24265,1.35989,1.16642,0.95231,0.00143591,0.00143591,0.00143591
18,4457.48,1.50072,1.30032,1.0079,0.48727,0.24363,0.37078,0.25807,1.35116,1.14029,0.95462,0.00116082,0.00116082,0.00116082
19,4691.06,1.47457,1.28349,1.00507,0.4546,0.25138,0.36079,0.24645,1.33998,1.13372,0.94808,0.000906849,0.000906849,0.000906849
20,4924.28,1.44102,1.23974,0.99543,0.50762,0.2601,0.38925,0.26515,1.33469,1.13198,0.94932,0.000678011,0.000678011,0.000678011
21,5160.6,1.48275,1.2767,1.00212,0.48257,0.27151,0.38492,0.26198,1.31236,1.1157,0.94171,0.00047791,0.00047791,0.00047791
22,5393.7,1.45035,1.2328,0.99103,0.49381,0.26772,0.38802,0.26633,1.31735,1.12304,0.94173,0.000309702,0.000309702,0.000309702
23,5628.9,1.45788,1.24129,0.99015,0.48201,0.27259,0.386,0.26366,1.29953,1.10747,0.93911,0.000176041,0.000176041,0.000176041
24,5862.32,1.42872,1.21999,0.98249,0.48223,0.27235,0.38489,0.26255,1.30377,1.11099,0.93975,7.90342e-05,7.90342e-05,7.90342e-05
25,6096.36,1.43906,1.23538,0.9893,0.49306,0.27201,0.39095,0.26882,1.29928,1.10642,0.93864,2.02113e-05,2.02113e-05,2.02113e-05
