epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,525.216,2.67691,3.11084,1.44186,0.3253,0.02678,0.17311,0.12198,2.03458,1.9711,1.2011,0.0888636,0.00123737,0.00123737
2,1047.83,1.97175,1.67025,1.11662,0.41139,0.12167,0.26861,0.16971,1.73322,1.41649,1.04839,0.0776068,0.00248057,0.00248057
3,1568.3,1.8217,1.42551,1.06368,0.58035,0.10384,0.34661,0.23444,1.80329,1.43033,1.06633,0.0663228,0.00369658,0.00369658
4,2084.86,1.78574,1.37886,1.0439,0.52675,0.19129,0.36412,0.25019,1.55755,1.12879,0.99138,0.0549917,0.00486545,0.00486545
5,2605.51,1.82739,1.3209,1.04339,0.54359,0.12984,0.34348,0.22562,1.79878,1.27949,1.05283,0.0435943,0.00596802,0.00596802
6,3119.89,1.75591,1.30046,1.02499,0.61114,0.14407,0.37775,0.23968,1.62162,1.15761,0.99805,0.0321126,0.00698632,0.00698632
7,3636.86,1.772,1.30318,1.03339,0.61357,0.10701,0.36138,0.24826,1.7721,1.47497,1.07171,0.0205301,0.00790386,0.00790386
8,4156.66,1.7785,1.29055,1.0325,0.51871,0.21417,0.37027,0.23778,1.52993,1.18126,0.99385,0.00883226,0.008706,0.008706
9,4674.41,1.78695,1.29037,1.03348,0.57345,0.13181,0.35377,0.22991,1.77075,1.31297,1.03854,0.00834731,0.00834731,0.00834731
10,5191.28,1.74164,1.2359,1.01532,0.51938,0.17154,0.34606,0.22109,1.52423,1.09316,0.98273,0.00794099,0.00794099,0.00794099
11,5714.35,1.72845,1.20919,1.01764,0.65782,0.18456,0.41825,0.26584,1.62003,1.22906,1.00219,0.0075025,0.0075025,0.0075025
12,6235.01,1.67735,1.16288,1.0046,0.71807,0.19454,0.45741,0.30484,1.4383,0.99585,0.96123,0.00703665,0.00703665,0.00703665
13,6755.49,1.68283,1.16051,1.00001,0.57461,0.13346,0.35669,0.23282,1.69112,1.20711,1.0153,0.00654854,0.00654854,0.00654854
14,7273.09,1.62072,1.09086,0.98885,0.66021,0.20593,0.43437,0.28513,1.45813,0.97871,0.96859,0.00604352,0.00604352,0.00604352
15,7791.11,1.60406,1.0893,0.98085,0.59815,0.11962,0.35826,0.23952,1.72999,1.27613,1.05956,0.00552712,0.00552712,0.00552712
16,8306.47,1.58094,1.06415,0.97787,0.78176,0.22557,0.50588,0.35701,1.42035,0.9369,0.95137,0.005005,0.005005,0.005005
17,8826.55,1.54001,1.02407,0.97384,0.68704,0.23696,0.46369,0.31523,1.38661,0.95362,0.94491,0.00448288,0.00448288,0.00448288
18,9343.9,1.5156,1.00853,0.96141,0.68022,0.20762,0.44444,0.30936,1.40875,0.97587,0.9548,0.00396648,0.00396648,0.00396648
19,9860.34,1.49255,0.97288,0.95746,0.69175,0.25274,0.47093,0.30527,1.35732,0.88751,0.93664,0.00346146,0.00346146,0.00346146
20,10379.5,1.45537,0.95892,0.95488,0.74652,0.26123,0.50579,0.34679,1.35485,0.84628,0.93813,0.00297335,0.00297335,0.00297335
21,10887.3,1.4269,0.9377,0.96503,0.79319,0.26664,0.53159,0.34644,1.35861,0.84946,0.93575,0.0025075,0.0025075,0.0025075
22,11392.7,1.37177,0.88044,0.94663,0.76946,0.27553,0.52371,0.35388,1.31491,0.81006,0.92672,0.00206901,0.00206901,0.00206901
23,11900.6,1.37494,0.87703,0.9471,0.85131,0.24492,0.54858,0.3622,1.44884,0.87055,0.95654,0.00166269,0.00166269,0.00166269
24,12408.5,1.33429,0.84205,0.94023,0.82278,0.28901,0.55877,0.38452,1.27657,0.77269,0.91686,0.00129299,0.00129299,0.00129299
25,12916.8,1.31051,0.81772,0.93495,0.82236,0.289,0.55667,0.37938,1.29056,0.78184,0.91949,0.00096396,0.00096396,0.00096396
26,13423.9,1.31244,0.82175,0.93362,0.77697,0.31379,0.54603,0.3727,1.24811,0.74708,0.91271,0.000679203,0.000679203,0.000679203
27,13934.2,1.29443,0.80014,0.92937,0.77961,0.33576,0.55877,0.37725,1.24896,0.74753,0.91172,0.00044184,0.00044184,0.00044184
28,14440.6,1.28513,0.79679,0.9309,0.80811,0.33587,0.57482,0.39858,1.22683,0.73584,0.90638,0.000254473,0.000254473,0.000254473
29,14952.2,1.25718,0.77963,0.92474,0.81061,0.33952,0.57681,0.39859,1.22111,0.72897,0.90568,0.000119153,0.000119153,0.000119153
30,15460.6,1.28817,0.79555,0.92354,0.81147,0.33865,0.57743,0.39752,1.22058,0.72762,0.90541,3.73631e-05,3.73631e-05,3.73631e-05
