epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1712.44,1.37594,0.89471,0.92136,0.78807,0.45844,0.63527,0.41613,1.22381,0.86788,0.90476,0.0881606,0.000623129,0.000623129
2,3417.62,1.36732,0.86876,0.9189,0.76239,0.438,0.61451,0.39837,1.27578,0.8813,0.91249,0.0762821,0.00124471,0.00124471
3,5113.05,1.35285,0.85482,0.91747,0.80548,0.42958,0.62694,0.41117,1.28553,0.89655,0.91614,0.0643901,0.00185266,0.00185266
4,6823.99,1.36888,0.87045,0.92219,0.76381,0.41532,0.60151,0.39511,1.27362,0.92255,0.91496,0.0524744,0.002437,0.002437
5,8522,1.36791,0.86818,0.9191,0.78184,0.39927,0.60144,0.39413,1.3015,0.9827,0.9231,0.0405256,0.00298814,0.00298814
6,10224.2,1.38788,0.88233,0.92278,0.77672,0.45046,0.62559,0.40182,1.27817,0.89133,0.91682,0.0285345,0.00349708,0.00349708
7,11922.4,1.38061,0.88576,0.92197,0.68594,0.24735,0.46861,0.30625,1.40981,1.29797,0.94453,0.016493,0.00395557,0.00395557
8,13618.6,1.41262,0.90598,0.92825,0.76765,0.40478,0.59717,0.3879,1.29891,0.94514,0.92493,0.00439372,0.0043563,0.0043563
9,15316.4,1.41439,0.91901,0.93022,0.73147,0.45745,0.60844,0.3942,1.2344,0.86352,0.9045,0.00417291,0.00417291,0.00417291
10,17015.4,1.41489,0.93172,0.93228,0.77504,0.42304,0.61195,0.40133,1.26188,0.8958,0.91625,0.00396957,0.00396957,0.00396957
11,18719.6,1.41752,0.92677,0.93038,0.69348,0.42106,0.57027,0.37198,1.25605,0.87704,0.91474,0.00375013,0.00375013,0.00375013
12,20422.1,1.40182,0.91306,0.92761,0.75714,0.37624,0.57476,0.37295,1.30239,0.96183,0.92154,0.00351699,0.00351699,0.00351699
13,22117.1,1.39397,0.90906,0.92784,0.78283,0.44537,0.62339,0.39973,1.25543,0.8936,0.91353,0.00327272,0.00327272,0.00327272
14,23829,1.39965,0.90969,0.92663,0.75692,0.37569,0.5711,0.37204,1.30407,0.94528,0.91694,0.00301998,0.00301998,0.00301998
15,25533.6,1.38282,0.89212,0.92305,0.75307,0.46043,0.61813,0.39378,1.25394,0.88518,0.91119,0.00276155,0.00276155,0.00276155
16,27242.1,1.36163,0.86379,0.91783,0.77594,0.46425,0.63751,0.41435,1.21603,0.8442,0.904,0.00250025,0.00250025,0.00250025
17,28945.7,1.3657,0.87403,0.92317,0.78398,0.45433,0.62995,0.41438,1.21855,0.85764,0.90618,0.00223895,0.00223895,0.00223895
18,30645.1,1.37024,0.87596,0.9211,0.79752,0.47181,0.64586,0.42218,1.22625,0.85275,0.9071,0.00198052,0.00198052,0.00198052
19,32342,1.33691,0.84611,0.91372,0.7874,0.47124,0.64165,0.42075,1.22196,0.86142,0.90401,0.00172778,0.00172778,0.00172778
20,34044.7,1.32543,0.82692,0.9106,0.77206,0.43851,0.61825,0.40454,1.27311,0.92947,0.9159,0.00148351,0.00148351,0.00148351
21,35702.4,1.2991,0.82443,0.926,0.77142,0.42468,0.60962,0.39397,1.27178,0.90615,0.91228,0.00125038,0.00125038,0.00125038
22,37361.7,1.29241,0.81561,0.92671,0.80595,0.48916,0.66106,0.43598,1.21568,0.822,0.90404,0.00103093,0.00103093,0.00103093
23,39017.4,1.2642,0.78776,0.91714,0.81912,0.49802,0.67272,0.44612,1.18732,0.82187,0.90049,0.000827591,0.000827591,0.000827591
24,40671.6,1.26027,0.78189,0.9187,0.80061,0.48867,0.66022,0.439,1.20029,0.84448,0.90408,0.000642574,0.000642574,0.000642574
25,42322.7,1.25485,0.77382,0.91698,0.76882,0.43161,0.61395,0.40408,1.24471,0.892,0.90732,0.00047791,0.00047791,0.00047791
26,43984.5,1.24058,0.76118,0.91496,0.80257,0.49923,0.66685,0.4409,1.20119,0.82204,0.90353,0.000335403,0.000335403,0.000335403
27,45634.3,1.25056,0.77377,0.91728,0.79937,0.49027,0.66005,0.43618,1.21204,0.84437,0.90564,0.000216615,0.000216615,0.000216615
28,47291.8,1.24052,0.75579,0.91395,0.79709,0.49701,0.66338,0.43756,1.20138,0.82942,0.90389,0.000122846,0.000122846,0.000122846
29,48944,1.23574,0.75674,0.91245,0.80041,0.50067,0.66758,0.44246,1.19613,0.81927,0.90288,5.51255e-05,5.51255e-05,5.51255e-05
30,50601.6,1.22453,0.74592,0.91082,0.80054,0.50032,0.66679,0.43988,1.19699,0.82076,0.90213,1.41939e-05,1.41939e-05,1.41939e-05
