epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,258.665,1.57254,1.3054,1.00335,0.66184,0.19069,0.42904,0.29712,1.34082,1.11982,0.94597,0.0882681,0.00061747,0.00061747
2,519.417,1.58164,1.28744,0.99872,0.62931,0.19076,0.41088,0.29071,1.36784,1.13797,0.94838,0.0763882,0.00123757,0.00123757
3,773.943,1.54503,1.2679,0.99169,0.68634,0.17818,0.43303,0.30348,1.40564,1.12582,0.96948,0.0644887,0.00183814,0.00183814
4,1032.62,1.5613,1.27065,0.99875,0.6183,0.20034,0.41043,0.28612,1.33305,1.09462,0.94648,0.0525556,0.00240496,0.00240496
5,1291.54,1.63061,1.30586,1.00444,0.65598,0.15628,0.40501,0.29609,1.36599,1.18285,0.9536,0.0405753,0.00292468,0.00292468
6,1551.54,1.60424,1.28261,1.00357,0.64036,0.16176,0.40329,0.27122,1.57789,1.29,0.99882,0.0285357,0.00338513,0.00338513
7,1808.61,1.6247,1.30779,1.01248,0.62896,0.18869,0.40971,0.28773,1.42646,1.116,0.96435,0.0164263,0.00377567,0.00377567
8,2064.76,1.62797,1.28394,1.00583,0.70006,0.17766,0.43831,0.31417,1.38412,1.11349,0.95277,0.00423809,0.00408749,0.00408749
9,2325.32,1.61971,1.26955,1.00119,0.59781,0.18519,0.39036,0.27155,1.44816,1.14102,0.97151,0.00383968,0.00383968,0.00383968
10,2583.28,1.57523,1.24879,0.99754,0.62619,0.19885,0.41213,0.28571,1.44296,1.14098,0.96903,0.00356459,0.00356459,0.00356459
11,2839.95,1.56463,1.22732,0.99088,0.6322,0.22288,0.43046,0.30713,1.32762,1.06279,0.94177,0.00327272,0.00327272,0.00327272
12,3096.97,1.53754,1.20256,0.98113,0.69327,0.2037,0.44959,0.32512,1.30938,1.04715,0.93799,0.00296866,0.00296866,0.00296866
13,3356.91,1.53187,1.20335,0.98365,0.65799,0.17808,0.41829,0.29689,1.3797,1.09668,0.96101,0.00265721,0.00265721,0.00265721
14,3614.71,1.52237,1.19772,0.98182,0.65197,0.2042,0.42895,0.30615,1.28815,1.02982,0.93088,0.00234329,0.00234329,0.00234329
15,3873.68,1.52275,1.18594,0.978,0.69494,0.21065,0.45502,0.33159,1.26906,1.00783,0.92959,0.00203184,0.00203184,0.00203184
16,4115.3,1.38914,1.13132,0.96828,0.71171,0.18912,0.45249,0.32992,1.28894,1.05003,0.934,0.00172778,0.00172778,0.00172778
17,4355.14,1.37529,1.11449,0.96772,0.71267,0.20937,0.46289,0.33918,1.25118,1.00321,0.92365,0.00143591,0.00143591,0.00143591
18,4595.68,1.36735,1.11096,0.96552,0.6819,0.22571,0.4572,0.32983,1.24679,0.99563,0.92628,0.00116082,0.00116082,0.00116082
19,4834.34,1.34897,1.101,0.96523,0.66474,0.21941,0.44435,0.31984,1.26526,1.00164,0.92534,0.000906849,0.000906849,0.000906849
20,5072.68,1.31866,1.06845,0.95696,0.68647,0.23607,0.46555,0.33465,1.21794,0.97416,0.91728,0.000678011,0.000678011,0.000678011
21,5313.56,1.3608,1.10043,0.96398,0.67513,0.23286,0.45715,0.33131,1.21411,0.96636,0.91664,0.00047791,0.00047791,0.00047791
22,5553.28,1.33009,1.06302,0.95591,0.68853,0.23021,0.46117,0.33583,1.22304,0.97445,0.91825,0.000309702,0.000309702,0.000309702
23,5793.11,1.34083,1.07758,0.95618,0.6891,0.23952,0.46678,0.33553,1.20567,0.95875,0.91454,0.000176041,0.000176041,0.000176041
24,6033.85,1.31557,1.05686,0.94948,0.68449,0.24025,0.46499,0.33729,1.20377,0.95761,0.91431,7.90342e-05,7.90342e-05,7.90342e-05
25,6273.45,1.32635,1.07105,0.95613,0.69606,0.23908,0.46992,0.33805,1.20224,0.9585,0.91376,2.02113e-05,2.02113e-05,2.02113e-05
