epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,254.121,1.52559,1.12592,0.97055,0.56592,0.22049,0.39382,0.25771,1.50837,1.18982,0.96763,0.0673976,0.000329317,0.000329317
2,507.76,1.55221,1.1192,0.97035,0.48483,0.30089,0.41097,0.27364,1.30598,0.9847,0.92611,0.034395,0.000660064,0.000660064
3,756.296,1.49245,1.10323,0.96212,0.49023,0.28591,0.40076,0.26421,1.35796,0.99835,0.93287,0.0013821,0.000980495,0.000980495
4,1005.78,1.5143,1.12512,0.97138,0.41967,0.26871,0.34731,0.21815,1.46418,1.07841,0.97224,0.000965239,0.000965239,0.000965239
5,1257.87,1.56774,1.14782,0.97515,0.48183,0.29969,0.40091,0.268,1.30726,0.97574,0.93134,0.000938772,0.000938772,0.000938772
6,1507.57,1.51385,1.12119,0.97045,0.43008,0.30235,0.38707,0.24823,1.39187,1.03056,0.94438,0.000905463,0.000905463,0.000905463
7,1757.82,1.53154,1.14117,0.97856,0.53095,0.25298,0.39829,0.26706,1.34307,1.01378,0.94031,0.000865839,0.000865839,0.000865839
8,2007.86,1.50329,1.10761,0.96739,0.50684,0.28717,0.40968,0.27382,1.34053,1.01241,0.94045,0.000820525,0.000820525,0.000820525
9,2263.58,1.50938,1.09745,0.96512,0.50133,0.31281,0.42047,0.27678,1.33771,1.02967,0.92667,0.000770234,0.000770234,0.000770234
10,2513.23,1.48012,1.08443,0.96336,0.52879,0.29622,0.42393,0.28829,1.29339,0.92217,0.92785,0.000715761,0.000715761,0.000715761
11,2763.89,1.48433,1.07404,0.96252,0.50985,0.31056,0.41897,0.28324,1.27833,0.91891,0.91872,0.000657963,0.000657963,0.000657963
12,3012.28,1.46286,1.05519,0.95509,0.50539,0.31888,0.42766,0.28669,1.28766,0.91301,0.92342,0.000597754,0.000597754,0.000597754
13,3264.55,1.46234,1.05396,0.95692,0.52543,0.31958,0.43499,0.29183,1.27005,0.92156,0.91858,0.000536081,0.000536081,0.000536081
14,3514.81,1.46848,1.05221,0.9587,0.52941,0.30684,0.42912,0.29129,1.27556,0.90046,0.92134,0.000473919,0.000473919,0.000473919
15,3763.39,1.47087,1.04813,0.9549,0.56388,0.32776,0.45801,0.30518,1.22915,0.86607,0.91109,0.000412246,0.000412246,0.000412246
16,3996.61,1.35353,0.98352,0.94911,0.56172,0.31714,0.45089,0.30613,1.24183,0.8718,0.91283,0.000352037,0.000352037,0.000352037
17,4231.27,1.34415,0.97318,0.94799,0.53997,0.34827,0.46021,0.30534,1.21433,0.85637,0.90867,0.000294239,0.000294239,0.000294239
18,4469.14,1.33173,0.96408,0.94579,0.5154,0.36986,0.46051,0.30391,1.20908,0.8582,0.90613,0.000239766,0.000239766,0.000239766
19,4703.77,1.31996,0.94831,0.94543,0.5614,0.35016,0.47137,0.31894,1.1946,0.83574,0.90479,0.000189475,0.000189475,0.000189475
20,4937.29,1.28407,0.91938,0.93717,0.56259,0.36467,0.47922,0.32345,1.17546,0.8224,0.90117,0.000144161,0.000144161,0.000144161
21,5172.55,1.32575,0.94882,0.94501,0.56381,0.36091,0.47996,0.31997,1.18032,0.81941,0.90135,0.000104537,0.000104537,0.000104537
22,5406.9,1.28802,0.9137,0.93323,0.55118,0.37136,0.4788,0.32114,1.16423,0.8137,0.89805,7.12282e-05,7.12282e-05,7.12282e-05
23,5640.95,1.29345,0.92216,0.93346,0.56089,0.3716,0.48249,0.32378,1.16394,0.81202,0.89799,4.47606e-05,4.47606e-05,4.47606e-05
24,5875.91,1.27056,0.90107,0.92816,0.5636,0.37534,0.48659,0.32835,1.16023,0.8096,0.89786,2.55513e-05,2.55513e-05,2.55513e-05
25,6108.86,1.28525,0.91435,0.93461,0.56491,0.37229,0.4857,0.32827,1.1606,0.81011,0.89812,1.39032e-05,1.39032e-05,1.39032e-05
