epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.422,2.60707,2.98083,1.27981,0,0,0,0,2.53385,3.08736,1.16959,0.0673976,0.000329317,0.000329317
2,504.456,2.23368,2.19945,1.15224,0.25732,0.04514,0.1503,0.0963,2.05631,2.14686,1.08638,0.034395,0.000660064,0.000660064
3,750.131,2.00701,1.86833,1.09852,0.22557,0.14182,0.17805,0.10857,1.74563,1.68761,1.03903,0.0013821,0.000980495,0.000980495
4,999.397,1.93184,1.71495,1.08466,0.19636,0.17727,0.18693,0.11431,1.62514,1.56511,1.02411,0.000965239,0.000965239,0.000965239
5,1249.63,1.93786,1.65839,1.07252,0.34618,0.1195,0.23514,0.13374,1.67876,1.55461,1.02495,0.000938772,0.000938772,0.000938772
6,1497.62,1.83264,1.54599,1.05328,0.29238,0.19226,0.25088,0.15419,1.56252,1.32451,0.99019,0.000905463,0.000905463,0.000905463
7,1745.11,1.81488,1.50977,1.05259,0.42482,0.18251,0.30629,0.1946,1.53185,1.26018,0.98875,0.000865839,0.000865839,0.000865839
8,1991.27,1.76308,1.44264,1.03268,0.36394,0.20306,0.2886,0.18508,1.51856,1.23733,0.98234,0.000820525,0.000820525,0.000820525
9,2242.28,1.76265,1.40645,1.02801,0.39092,0.21946,0.30458,0.19565,1.51094,1.21166,0.97038,0.000770234,0.000770234,0.000770234
10,2488.8,1.69816,1.36438,1.0191,0.45002,0.21811,0.34245,0.22669,1.44378,1.13384,0.96317,0.000715761,0.000715761,0.000715761
11,2735.59,1.67429,1.31282,1.00846,0.394,0.258,0.3314,0.21342,1.41384,1.10466,0.95386,0.000657963,0.000657963,0.000657963
12,2983.94,1.64915,1.27646,0.99834,0.45615,0.2404,0.35747,0.24096,1.40854,1.08413,0.95015,0.000597754,0.000597754,0.000597754
13,3234.71,1.64306,1.27211,0.99887,0.435,0.25445,0.3513,0.23241,1.40169,1.07445,0.94366,0.000536081,0.000536081,0.000536081
14,3481.79,1.63265,1.25296,0.99528,0.56423,0.22871,0.40079,0.27278,1.41994,1.08748,0.95082,0.000473919,0.000473919,0.000473919
15,3729.52,1.63463,1.24152,0.99428,0.4358,0.25646,0.35199,0.23411,1.37391,1.03996,0.94765,0.000412246,0.000412246,0.000412246
16,3960.7,1.49796,1.17498,0.98507,0.61039,0.23465,0.42786,0.30023,1.35512,1.04596,0.93857,0.000352037,0.000352037,0.000352037
17,4193.07,1.48266,1.14666,0.98261,0.51107,0.26285,0.39371,0.26821,1.34288,1.02054,0.93929,0.000294239,0.000294239,0.000294239
18,4427.03,1.46571,1.13695,0.97844,0.48961,0.27822,0.39734,0.27435,1.31933,0.99782,0.93129,0.000239766,0.000239766,0.000239766
19,4659.29,1.45218,1.12243,0.97796,0.53634,0.26185,0.40689,0.2809,1.31018,0.9882,0.92936,0.000189475,0.000189475,0.000189475
20,4891.23,1.41396,1.08404,0.96975,0.49361,0.28732,0.40436,0.27824,1.29714,0.96989,0.92727,0.000144161,0.000144161,0.000144161
21,5124.21,1.4562,1.11582,0.97619,0.50924,0.28694,0.41014,0.28357,1.29679,0.962,0.92678,0.000104537,0.000104537,0.000104537
22,5357.64,1.41822,1.07064,0.96574,0.50581,0.2855,0.4056,0.27844,1.29222,0.95883,0.9246,7.12282e-05,7.12282e-05,7.12282e-05
23,5591.23,1.42474,1.0821,0.96406,0.50344,0.28574,0.40504,0.28015,1.28338,0.95221,0.92358,4.47606e-05,4.47606e-05,4.47606e-05
24,5825.64,1.39905,1.05863,0.9571,0.50262,0.29052,0.40639,0.28154,1.2772,0.949,0.92348,2.55513e-05,2.55513e-05,2.55513e-05
25,6059.38,1.4069,1.07216,0.96396,0.51338,0.28996,0.41344,0.28643,1.27979,0.94763,0.92276,1.39032e-05,1.39032e-05,1.39032e-05
