epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2112.62,1.16371,0.69321,0.89661,0.84352,0.46982,0.66682,0.44474,1.25534,0.88129,0.91429,0.0881696,0.00062265,0.00062265
2,4226.35,1.189,0.71487,0.90246,0.85029,0.46181,0.66709,0.45382,1.20239,0.92776,0.90591,0.0762644,0.00121742,0.00121742
3,6338.13,1.192,0.71874,0.90156,0.84303,0.47258,0.66856,0.45106,1.22702,0.90726,0.91025,0.0642426,0.00169562,0.00169562
4,8456.79,1.2074,0.73257,0.90488,0.80143,0.44459,0.63334,0.41388,1.22111,0.85213,0.90314,0.052035,0.00198801,0.00198801
5,10567,1.21682,0.7464,0.90867,0.83305,0.43844,0.64648,0.43282,1.2266,0.95015,0.9071,0.0396016,0.00205459,0.00205459
6,12679.8,1.1989,0.72323,0.90199,0.80483,0.43885,0.6343,0.42224,1.24116,0.92881,0.90836,0.0269396,0.00189256,0.00189256
7,14783.8,1.19063,0.72392,0.90444,0.83936,0.4738,0.66822,0.44864,1.2031,0.88442,0.9018,0.0140863,0.00153933,0.00153933
8,16881.5,1.17322,0.71348,0.90012,0.83004,0.47844,0.66835,0.44915,1.22099,0.90909,0.90947,0.00111672,0.00106973,0.00106973
9,18988.2,1.18022,0.71389,0.90232,0.84567,0.49883,0.68547,0.46224,1.20558,0.89395,0.90287,0.000522683,0.000522683,0.000522683
10,21094.2,1.13762,0.68196,0.89183,0.83973,0.50164,0.68427,0.46245,1.20386,0.88293,0.90419,0.000171135,0.000171135,0.000171135
