epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1721.66,1.52313,1.11335,0.95985,0.76737,0.37418,0.5709,0.36988,1.23168,0.87836,0.90373,0.0881606,0.000623129,0.000623129
2,3438.28,1.54197,1.12026,0.96211,0.74464,0.40363,0.57685,0.37761,1.21844,0.79476,0.89825,0.0762821,0.00124471,0.00124471
3,5149.84,1.5442,1.13139,0.96546,0.75833,0.36344,0.56323,0.35886,1.28279,0.90869,0.91525,0.0643901,0.00185266,0.00185266
4,6860.01,1.57763,1.17308,0.97446,0.74775,0.38816,0.56641,0.35921,1.23239,0.84086,0.90296,0.0524744,0.002437,0.002437
5,8566.47,1.58939,1.1767,0.97338,0.71576,0.3428,0.53137,0.34261,1.26033,0.96854,0.91287,0.0405256,0.00298814,0.00298814
6,10271.5,1.62039,1.20562,0.98002,0.71451,0.37176,0.5406,0.34915,1.27499,0.8735,0.91222,0.0285345,0.00349708,0.00349708
7,11972,1.62274,1.22276,0.98302,0.68288,0.35739,0.51827,0.3386,1.26208,0.90088,0.91333,0.016493,0.00395557,0.00395557
8,13681.5,1.66989,1.26959,0.99274,0.66787,0.30434,0.48324,0.29906,1.31571,1.03509,0.92297,0.00439372,0.0043563,0.0043563
9,15381.9,1.67571,1.27608,0.99508,0.69188,0.31888,0.50141,0.31943,1.3004,0.94491,0.92359,0.00417291,0.00417291,0.00417291
10,17084.9,1.67076,1.29558,0.997,0.7006,0.21141,0.45177,0.28893,1.39354,1.08864,0.9427,0.00396957,0.00396957,0.00396957
11,18799.6,1.65655,1.26775,0.98878,0.68093,0.39725,0.53817,0.34531,1.2474,0.85475,0.90966,0.00375013,0.00375013,0.00375013
12,20512.1,1.63883,1.2308,0.98526,0.71591,0.29043,0.50514,0.32116,1.356,0.99028,0.9344,0.00351699,0.00351699,0.00351699
13,22217.3,1.62088,1.23269,0.98448,0.73501,0.31667,0.52389,0.33695,1.28671,0.93434,0.91631,0.00327272,0.00327272,0.00327272
14,23920.9,1.62707,1.21841,0.98163,0.64586,0.33279,0.48941,0.31953,1.28063,0.9701,0.9138,0.00301998,0.00301998,0.00301998
15,25619.8,1.59625,1.18431,0.97465,0.75175,0.3501,0.55142,0.34941,1.27948,0.91969,0.91575,0.00276155,0.00276155,0.00276155
16,27330.9,1.56562,1.14222,0.9676,0.71998,0.39315,0.55999,0.35349,1.24579,0.90095,0.90913,0.00250025,0.00250025,0.00250025
17,29028.1,1.56565,1.16806,0.97214,0.69456,0.32128,0.50797,0.33665,1.25303,0.95705,0.908,0.00223895,0.00223895,0.00223895
18,30733.7,1.56456,1.15491,0.96908,0.77211,0.41228,0.59699,0.38295,1.23072,0.9013,0.9081,0.00198052,0.00198052,0.00198052
19,32436.8,1.53285,1.11127,0.96018,0.75781,0.43064,0.59971,0.38791,1.21925,0.86352,0.90219,0.00172778,0.00172778,0.00172778
20,34149.9,1.50869,1.07923,0.95423,0.78386,0.36826,0.57707,0.37661,1.23766,0.93277,0.90792,0.00148351,0.00148351,0.00148351
21,35801.1,1.45018,1.03189,0.9658,0.778,0.40333,0.59398,0.38619,1.24213,0.86386,0.90611,0.00125038,0.00125038,0.00125038
22,37454,1.44138,1.02507,0.96544,0.77187,0.41686,0.60068,0.39069,1.21849,0.83302,0.90157,0.00103093,0.00103093,0.00103093
23,39104.8,1.41082,0.98619,0.95542,0.77797,0.4461,0.61701,0.40238,1.19585,0.8309,0.89892,0.000827591,0.000827591,0.000827591
24,40760.2,1.40281,0.97848,0.95557,0.76626,0.44577,0.61248,0.40418,1.18717,0.81286,0.89867,0.000642574,0.000642574,0.000642574
25,42416.3,1.39556,0.95919,0.95335,0.78277,0.44353,0.62021,0.40733,1.18882,0.84677,0.89867,0.00047791,0.00047791,0.00047791
26,44081.1,1.38144,0.94432,0.94995,0.78782,0.46461,0.63398,0.41463,1.18267,0.82627,0.89732,0.000335403,0.000335403,0.000335403
27,45744.7,1.3908,0.95342,0.95216,0.78455,0.45621,0.62827,0.41003,1.19154,0.83008,0.90036,0.000216615,0.000216615,0.000216615
28,47403.5,1.37834,0.93996,0.94825,0.7807,0.46114,0.6296,0.4106,1.18732,0.81982,0.89869,0.000122846,0.000122846,0.000122846
29,49068.1,1.37501,0.93377,0.94704,0.7863,0.45611,0.62803,0.41036,1.1851,0.83007,0.89946,5.51255e-05,5.51255e-05,5.51255e-05
30,50730.5,1.3613,0.91679,0.94478,0.78325,0.45452,0.62709,0.40858,1.19249,0.8311,0.90044,1.41939e-05,1.41939e-05,1.41939e-05
