epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.721,2.90183,4.28329,1.53687,0,0,0,0,2.7156,3.70028,1.25351,0.0882681,0.00061747,0.00061747
2,524.374,2.40798,3.16271,1.25373,0.05696,0.00278,0.0292,0.01593,2.12416,2.70999,1.17,0.0763882,0.00123757,0.00123757
3,780.517,2.11868,2.4454,1.16699,0.16864,0.06341,0.11511,0.0764,1.79388,2.05093,1.08894,0.0644887,0.00183814,0.00183814
4,1037.96,2.01928,2.1367,1.14148,0.19836,0.04325,0.11973,0.08758,1.72215,1.95455,1.05884,0.0525556,0.00240496,0.00240496
5,1296.44,2.02455,1.98642,1.12224,0.35035,0.04651,0.19785,0.13577,1.9642,1.88578,1.17154,0.0405753,0.00292468,0.00292468
6,1553.77,1.93416,1.84179,1.10278,0.35432,0.0613,0.20682,0.14237,1.73632,1.75996,1.06514,0.0285357,0.00338513,0.00338513
7,1810.5,1.93237,1.78348,1.10338,0.33999,0.10219,0.22011,0.14214,1.75266,1.57752,1.0953,0.0164263,0.00377567,0.00377567
8,2067.05,1.88881,1.6939,1.085,0.50064,0.09315,0.29499,0.1958,1.63671,1.5132,1.03216,0.00423809,0.00408749,0.00408749
9,2328.21,1.87414,1.63077,1.07627,0.42047,0.1237,0.27321,0.1866,1.59058,1.42149,1.01037,0.00383968,0.00383968,0.00383968
10,2586.26,1.80076,1.57045,1.0656,0.45429,0.13489,0.29437,0.19742,1.50083,1.33717,0.99236,0.00356459,0.00356459,0.00356459
11,2843.4,1.75827,1.50006,1.04923,0.43259,0.15034,0.29084,0.19306,1.51627,1.38986,0.99704,0.00327272,0.00327272,0.00327272
12,3101.01,1.71348,1.44377,1.03574,0.43969,0.15801,0.29981,0.20692,1.44594,1.25394,0.97612,0.00296866,0.00296866,0.00296866
13,3360.41,1.71948,1.44249,1.03869,0.55015,0.1437,0.34593,0.24204,1.49515,1.26664,0.99833,0.00265721,0.00265721,0.00265721
14,3617.98,1.68712,1.41212,1.03162,0.61589,0.14195,0.37793,0.25256,1.42818,1.22706,0.9726,0.00234329,0.00234329,0.00234329
15,3874.39,1.68117,1.39031,1.02434,0.61081,0.15826,0.38478,0.26802,1.39657,1.17315,0.96292,0.00203184,0.00203184,0.00203184
16,4115.24,1.52978,1.32582,1.01329,0.68137,0.15966,0.42132,0.283,1.412,1.19171,0.96694,0.00172778,0.00172778,0.00172778
17,4357.14,1.51609,1.30549,1.01167,0.71705,0.16481,0.44095,0.31701,1.36285,1.16576,0.95261,0.00143591,0.00143591,0.00143591
18,4595.59,1.50017,1.29842,1.00747,0.60985,0.1859,0.40052,0.26238,1.33368,1.1523,0.94834,0.00116082,0.00116082,0.00116082
19,4837.76,1.47496,1.27995,1.00597,0.6641,0.1734,0.41886,0.28441,1.37883,1.15944,0.95923,0.000906849,0.000906849,0.000906849
20,5078.54,1.44082,1.23764,0.99728,0.70414,0.18412,0.44551,0.30433,1.33104,1.12307,0.94637,0.000678011,0.000678011,0.000678011
21,5318.89,1.48513,1.27495,1.00377,0.68347,0.19334,0.44036,0.29355,1.3147,1.11537,0.94243,0.00047791,0.00047791,0.00047791
22,5559.23,1.44782,1.22916,0.99094,0.72171,0.1844,0.45426,0.32464,1.3145,1.12328,0.94214,0.000309702,0.000309702,0.000309702
23,5800.84,1.45616,1.24044,0.99089,0.69139,0.19298,0.44313,0.3134,1.30345,1.10635,0.94014,0.000176041,0.000176041,0.000176041
24,6041.84,1.43215,1.21937,0.98417,0.64227,0.19231,0.41873,0.29809,1.30662,1.1124,0.94077,7.90342e-05,7.90342e-05,7.90342e-05
25,6283.27,1.43821,1.23464,0.99004,0.69247,0.19384,0.44444,0.31793,1.30019,1.10487,0.93904,2.02113e-05,2.02113e-05,2.02113e-05
