epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,380.316,1.26401,1.13962,0.99368,0.51959,0.47365,0.49034,0.33246,1.10673,1.05223,0.95941,0.0925457,0.000828252,0.000828252
2,757.852,1.25982,1.14236,0.98738,0.51835,0.47532,0.51154,0.36263,1.08125,0.98044,0.95892,0.0850355,0.00165137,0.00165137
3,1141.08,1.27226,1.13944,0.99532,0.50907,0.47115,0.4899,0.33894,1.1098,1.01401,0.96667,0.0774847,0.00243392,0.00243392
4,1518.78,1.27982,1.14522,0.99574,0.48732,0.45321,0.46457,0.31821,1.10473,1.08279,0.96445,0.0698645,0.00314705,0.00314705
5,1892.97,1.28836,1.14626,0.99792,0.58273,0.44749,0.50478,0.34842,1.08731,1.00851,0.96083,0.0621487,0.00376459,0.00376459
6,2269.43,1.28944,1.14493,1.00062,0.47293,0.446,0.4457,0.30361,1.11691,1.09958,0.96574,0.054315,0.00426416,0.00426416
7,2644.42,1.28694,1.14377,0.99798,0.50613,0.35377,0.43084,0.28984,1.28641,1.29432,1.02947,0.0463457,0.00462821,0.00462821
8,3017.23,1.30408,1.15739,1.00412,0.48028,0.32373,0.39985,0.26939,1.38966,1.39117,1.07015,0.0382289,0.00484476,0.00484476
9,3391.44,1.31264,1.15498,1.0024,0.52844,0.46438,0.48323,0.334,1.12427,1.02168,0.97436,0.0299589,0.00490808,0.00490808
10,3766.35,1.28743,1.13891,1.00299,0.45988,0.37708,0.42259,0.2941,1.21683,1.21363,1.014,0.0215365,0.00481905,0.00481905
11,4132.25,1.24306,1.13361,1.01395,0.51825,0.45372,0.47957,0.32602,1.121,1.02409,0.97069,0.0129695,0.00458537,0.00458537
12,4494.65,1.23144,1.10902,1.01052,0.46753,0.41349,0.45399,0.31356,1.20929,1.12471,0.99939,0.00427228,0.00422146,0.00422146
13,4859.93,1.22976,1.10766,1.00425,0.53113,0.42873,0.49608,0.3506,1.12924,1.08541,0.97416,0.00346146,0.00346146,0.00346146
14,5226.63,1.19848,1.06518,0.99962,0.54209,0.47117,0.50564,0.3532,1.08739,0.95985,0.95702,0.00273732,0.00273732,0.00273732
15,5594.3,1.17456,1.02552,0.98699,0.56065,0.49392,0.53565,0.37638,1.04517,0.93429,0.94616,0.00206901,0.00206901,0.00206901
16,5960.39,1.16949,1.02339,0.98943,0.57364,0.4977,0.54226,0.38209,1.03831,0.91101,0.943,0.001473,0.001473,0.001473
17,6325.36,1.14459,0.98569,0.97818,0.59636,0.52102,0.56412,0.40159,1.00229,0.88077,0.93358,0.00096396,0.00096396,0.00096396
18,6687.15,1.1219,0.95362,0.97317,0.59526,0.51129,0.56885,0.4038,1.00129,0.87922,0.93168,0.000554422,0.000554422,0.000554422
19,7053.34,1.10786,0.93923,0.96256,0.60126,0.51504,0.57288,0.40911,0.98305,0.86394,0.92747,0.000254473,0.000254473,0.000254473
20,7416.86,1.10805,0.94199,0.96184,0.59798,0.51989,0.57324,0.41056,0.98202,0.85329,0.92694,7.14967e-05,7.14967e-05,7.14967e-05
