epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,373.627,1.09526,0.82905,0.93443,0.67181,0.6122,0.67921,0.48836,1.00217,0.81278,0.92169,0.0925457,0.000828252,0.000828252
2,751.76,1.07125,0.80594,0.92416,0.76262,0.55552,0.69252,0.50973,0.99497,0.79035,0.91942,0.0850355,0.00165137,0.00165137
3,1123.04,1.06843,0.79665,0.92575,0.73822,0.52016,0.65288,0.48082,0.99873,0.83465,0.92772,0.0774847,0.00243392,0.00243392
4,1493.52,1.06923,0.7939,0.9242,0.71036,0.56772,0.67121,0.48436,1.00966,0.81766,0.92655,0.0698645,0.00314705,0.00314705
5,1867.27,1.06767,0.79256,0.92394,0.737,0.5884,0.69426,0.51089,0.98232,0.78474,0.92301,0.0621487,0.00376459,0.00376459
6,2236.18,1.06929,0.79081,0.92605,0.72596,0.51937,0.6531,0.47647,1.00581,0.86174,0.92492,0.054315,0.00426416,0.00426416
7,2604.45,1.07922,0.799,0.92609,0.7694,0.53868,0.6735,0.49888,0.98613,0.77816,0.92581,0.0463457,0.00462821,0.00462821
8,2978.78,1.0854,0.80373,0.92786,0.73298,0.52811,0.65938,0.48104,1.01117,0.8199,0.92864,0.0382289,0.00484476,0.00484476
9,3351.05,1.09551,0.81451,0.92868,0.67241,0.57246,0.64937,0.47052,1.00828,0.84981,0.93128,0.0299589,0.00490808,0.00490808
10,3721.02,1.07895,0.79839,0.92921,0.76549,0.3678,0.57757,0.42701,1.10594,0.97923,0.97182,0.0215365,0.00481905,0.00481905
11,4081.46,1.02287,0.75434,0.92966,0.81236,0.45128,0.64099,0.47268,1.00202,0.81117,0.92967,0.0129695,0.00458537,0.00458537
12,4443.55,1.01029,0.73848,0.92861,0.73173,0.48032,0.62611,0.4559,1.01983,0.84762,0.93881,0.00427228,0.00422146,0.00422146
13,4805.15,1.02465,0.75768,0.92989,0.78369,0.51558,0.67258,0.49225,0.99918,0.77688,0.92906,0.00346146,0.00346146,0.00346146
14,5169.37,1.00974,0.74519,0.92948,0.78886,0.54869,0.68788,0.51108,0.97571,0.74799,0.92387,0.00273732,0.00273732,0.00273732
15,5530.01,0.99809,0.73113,0.92372,0.79532,0.57062,0.70588,0.52478,0.95474,0.71562,0.91515,0.00206901,0.00206901,0.00206901
16,5890.83,1.00029,0.73214,0.92783,0.78158,0.58537,0.7091,0.53103,0.9449,0.72146,0.91208,0.001473,0.001473,0.001473
17,6252.8,0.99332,0.71789,0.92493,0.8288,0.58558,0.73034,0.55483,0.91596,0.68291,0.90605,0.00096396,0.00096396,0.00096396
18,6617.93,0.9793,0.70132,0.9214,0.79209,0.61571,0.73681,0.55562,0.92435,0.68167,0.90631,0.000554422,0.000554422,0.000554422
19,6981.07,0.9744,0.69721,0.91526,0.78416,0.6229,0.73536,0.5564,0.91483,0.6859,0.90405,0.000254473,0.000254473,0.000254473
20,7341.23,0.97873,0.70455,0.91653,0.80635,0.61368,0.74014,0.56325,0.90606,0.66556,0.90185,7.14967e-05,7.14967e-05,7.14967e-05
