epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.641,1.18449,0.85509,0.91938,0.64511,0.44907,0.5721,0.397,1.08363,0.77145,0.88869,0.0882681,0.00061747,0.00061747
2,478.29,1.17933,0.84433,0.91373,0.59984,0.42563,0.53392,0.35843,1.16698,0.85194,0.90524,0.0763627,0.00121207,0.00121207
3,716.843,1.16716,0.84179,0.91574,0.64151,0.43318,0.56084,0.3789,1.14681,0.85374,0.89883,0.0643398,0.00168916,0.00168916
4,953.55,1.21033,0.87309,0.92238,0.64823,0.41388,0.54846,0.37014,1.16911,0.84937,0.90821,0.0521294,0.0019788,0.0019788
5,1191.49,1.19851,0.87202,0.92552,0.63965,0.41399,0.54263,0.36954,1.16785,0.83562,0.90673,0.0396911,0.00204052,0.00204052
6,1428.07,1.20037,0.86472,0.92209,0.6625,0.4225,0.56442,0.38617,1.16133,0.82512,0.90562,0.027022,0.00187142,0.00187142
7,1665.22,1.21753,0.87596,0.92361,0.6455,0.38226,0.53062,0.35904,1.21267,0.90022,0.91964,0.0141598,0.00150921,0.00150921
8,1904.25,1.18711,0.85381,0.91866,0.63458,0.46723,0.57778,0.39658,1.09033,0.7766,0.88952,0.00117998,0.00102938,0.00102938
9,2141.99,1.1602,0.82868,0.91046,0.64703,0.46408,0.58251,0.40247,1.07499,0.75857,0.8862,0.00047791,0.00047791,0.00047791
10,2379.31,1.14618,0.82113,0.90815,0.64299,0.47292,0.58654,0.40704,1.06709,0.75629,0.88531,0.000122846,0.000122846,0.000122846
