epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,529.031,1.30658,0.79462,0.91486,0.7823,0.35914,0.57544,0.39636,1.20875,0.71613,0.90034,0.0888636,0.00123737,0.00123737
2,1051.88,1.27815,0.77021,0.90889,0.74363,0.29668,0.52605,0.3566,1.31156,0.81381,0.92826,0.0776098,0.00248354,0.00248354
3,1577.78,1.28236,0.76987,0.91208,0.83354,0.32071,0.58115,0.38761,1.2816,0.76982,0.91864,0.0663407,0.00371439,0.00371439
4,2099.17,1.28191,0.76811,0.90844,0.79692,0.3745,0.59516,0.4068,1.22304,0.71273,0.90512,0.0550448,0.00491854,0.00491854
5,2631.19,1.31259,0.786,0.91211,0.73033,0.26955,0.50561,0.34698,1.41893,0.89592,0.96251,0.0437111,0.00608489,0.00608489
6,3151.65,1.29534,0.77926,0.90914,0.79713,0.33186,0.56963,0.38383,1.28061,0.78195,0.91521,0.032329,0.00720269,0.00720269
7,3673.49,1.32255,0.7904,0.91846,0.73391,0.23035,0.48213,0.30832,1.41426,1.02081,0.96453,0.020888,0.00826169,0.00826169
8,4195.04,1.3341,0.79461,0.91867,0.74122,0.29425,0.52375,0.36494,1.32654,0.85548,0.93651,0.0093785,0.00925224,0.00925224
9,4723.41,1.35973,0.83361,0.9242,0.79037,0.33368,0.56493,0.37944,1.31548,0.80899,0.9321,0.00904604,0.00904604,0.00904604
10,5247.05,1.35236,0.82884,0.91885,0.56679,0.14929,0.35731,0.2384,1.61541,1.23857,1.00211,0.00880323,0.00880323,0.00880323
11,5774.41,1.36149,0.83349,0.92562,0.77577,0.3448,0.56726,0.37755,1.28004,0.80003,0.92461,0.008537,0.008537,0.008537
12,6301.71,1.35554,0.83114,0.92594,0.752,0.36265,0.56129,0.37704,1.23809,0.76204,0.90987,0.00824899,0.00824899,0.00824899
13,6823.66,1.36579,0.83879,0.92305,0.65654,0.26866,0.46529,0.30498,1.45285,0.98382,0.95752,0.00794099,0.00794099,0.00794099
14,7351.37,1.34195,0.80467,0.91916,0.69208,0.24004,0.46463,0.31105,1.38217,0.97292,0.95236,0.00761488,0.00761488,0.00761488
15,7879.06,1.34417,0.81996,0.91971,0.82394,0.1973,0.51209,0.34398,1.49504,1.0605,0.99965,0.00727268,0.00727268,0.00727268
16,8402.6,1.33586,0.811,0.91937,0.79146,0.3271,0.56362,0.37859,1.2923,0.79927,0.92138,0.0069165,0.0069165,0.0069165
17,8925.54,1.31818,0.79521,0.91864,0.77123,0.21581,0.49507,0.32529,1.44628,1.19681,0.9608,0.00654854,0.00654854,0.00654854
18,9451.41,1.30486,0.78567,0.91305,0.80941,0.36086,0.59383,0.39699,1.25139,0.72735,0.91111,0.00617106,0.00617106,0.00617106
19,9974.51,1.29017,0.77443,0.9109,0.73169,0.34697,0.54519,0.36157,1.28103,0.79334,0.92062,0.00578639,0.00578639,0.00578639
20,10498.7,1.275,0.77224,0.91161,0.74306,0.26315,0.50481,0.33907,1.36225,0.89239,0.94587,0.0053969,0.0053969,0.0053969
21,11016.6,1.29283,0.78645,0.91464,0.814,0.28974,0.55549,0.36196,1.31518,0.85322,0.92549,0.005005,0.005005,0.005005
22,11538.3,1.29175,0.76729,0.9101,0.8547,0.27651,0.56707,0.3772,1.29354,0.83037,0.92271,0.0046131,0.0046131,0.0046131
23,12060.4,1.28008,0.77431,0.91032,0.77289,0.30643,0.54469,0.36429,1.32001,0.81726,0.938,0.00422361,0.00422361,0.00422361
24,12584.2,1.28459,0.76088,0.91135,0.8217,0.38034,0.60689,0.41428,1.22107,0.6968,0.90676,0.00383894,0.00383894,0.00383894
25,13106.4,1.26742,0.74948,0.90754,0.815,0.37811,0.60426,0.41204,1.20719,0.6962,0.90288,0.00346146,0.00346146,0.00346146
