epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1716.64,1.40606,0.93516,0.92875,0.80171,0.47151,0.64666,0.42298,1.1961,0.82193,0.89753,0.0881606,0.000623129,0.000623129
2,3422.88,1.39801,0.90818,0.92561,0.77369,0.47846,0.63863,0.41173,1.22682,0.81102,0.90077,0.0762836,0.00124621,0.00124621
3,5120.15,1.38462,0.89564,0.92502,0.7741,0.45932,0.62919,0.41167,1.25225,0.88431,0.91143,0.064399,0.0018616,0.0018616
4,6834.18,1.40378,0.91529,0.93033,0.77772,0.3769,0.58532,0.38422,1.276,0.9387,0.91726,0.052501,0.00246362,0.00246362
5,8541,1.40341,0.91145,0.92742,0.79793,0.41507,0.61872,0.40792,1.24321,0.91083,0.91227,0.0405841,0.00304671,0.00304671
6,10235.2,1.42927,0.93714,0.9326,0.79863,0.45019,0.63211,0.41184,1.24879,0.85107,0.9113,0.0286429,0.00360549,0.00360549
7,11932.2,1.42134,0.93624,0.93165,0.74537,0.46442,0.61485,0.39523,1.21793,0.82966,0.90298,0.0166723,0.00413483,0.00413483
8,13628.7,1.45916,0.96995,0.93886,0.75751,0.42198,0.59797,0.38563,1.27329,0.94873,0.92029,0.00466733,0.0046299,0.0046299
9,15331.4,1.46745,0.98828,0.94224,0.73308,0.43244,0.58984,0.37824,1.24689,0.869,0.91186,0.00452259,0.00452259,0.00452259
10,17035.5,1.46788,1.00716,0.94569,0.72245,0.4036,0.56863,0.36601,1.25641,0.88512,0.91313,0.00440107,0.00440107,0.00440107
11,18742.6,1.47164,1.0031,0.94268,0.70633,0.36638,0.54283,0.34683,1.3261,0.96883,0.93267,0.00426784,0.00426784,0.00426784
12,20452.5,1.46129,0.98185,0.94066,0.72412,0.33045,0.53163,0.3419,1.33419,1.04143,0.93154,0.00412371,0.00412371,0.00412371
13,22150.6,1.45897,0.9941,0.94324,0.78918,0.3958,0.59795,0.38955,1.26455,0.90288,0.91684,0.00396957,0.00396957,0.00396957
14,23861,1.4713,0.99222,0.94222,0.76758,0.34386,0.55776,0.36458,1.29185,0.93326,0.91727,0.00380637,0.00380637,0.00380637
15,25566,1.452,0.97276,0.93791,0.70988,0.38983,0.55884,0.35312,1.29615,0.949,0.91957,0.00363511,0.00363511,0.00363511
16,27269.8,1.43223,0.94855,0.93322,0.74303,0.45167,0.61122,0.39833,1.24956,0.84325,0.9129,0.00345686,0.00345686,0.00345686
17,28974.2,1.43697,0.96159,0.93909,0.74536,0.4283,0.59582,0.39012,1.24203,0.89266,0.90813,0.00327272,0.00327272,0.00327272
18,30681.1,1.44622,0.97088,0.93819,0.78435,0.44928,0.62458,0.40392,1.24489,0.89656,0.91204,0.00308381,0.00308381,0.00308381
19,32379.1,1.41323,0.93436,0.9304,0.76589,0.46329,0.62636,0.40476,1.25412,0.85044,0.91288,0.0028913,0.0028913,0.0028913
20,34083.5,1.40344,0.91428,0.92709,0.78067,0.45578,0.63024,0.40566,1.25415,0.87056,0.91334,0.00269638,0.00269638,0.00269638
21,35794.2,1.40987,0.92553,0.93333,0.75465,0.45377,0.61788,0.40462,1.24282,0.87837,0.91095,0.00250025,0.00250025,0.00250025
