epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,481.115,1.26709,0.76774,0.90165,0.84349,0.3333,0.58871,0.40036,1.29602,0.81029,0.90711,0.083726,0.000164384,0.000164384
2,956.805,1.24189,0.7599,0.89131,0.75473,0.33415,0.54705,0.35779,1.34215,0.86741,0.9161,0.0672179,0.000322965,0.000322965
3,1428.52,1.23472,0.74342,0.89576,0.76764,0.33151,0.5467,0.36489,1.34001,0.88138,0.91337,0.0506786,0.000450284,0.000450284
4,1906.86,1.22935,0.73702,0.89172,0.79428,0.3716,0.58506,0.39272,1.29738,0.78849,0.91007,0.0340894,0.000527723,0.000527723
5,2379.67,1.24549,0.74782,0.89802,0.72822,0.37166,0.55901,0.37726,1.30036,0.7831,0.90957,0.0174395,0.000544504,0.000544504
6,2844.42,1.24103,0.74426,0.91069,0.8298,0.25599,0.54355,0.37693,1.4925,1.00125,0.95076,0.000728167,0.000499856,0.000499856
7,3314.19,1.21739,0.71611,0.90667,0.79785,0.38872,0.59821,0.39948,1.27568,0.74341,0.90429,0.000346801,0.000346801,0.000346801
8,3781.49,1.19554,0.70203,0.90162,0.82551,0.36433,0.59924,0.40209,1.28331,0.73228,0.90398,0.000207695,0.000207695,0.000207695
9,4246.38,1.17652,0.68996,0.89901,0.81777,0.3774,0.60416,0.41511,1.23051,0.71232,0.89557,9.73005e-05,9.73005e-05,9.73005e-05
10,4714.53,1.16126,0.67369,0.89724,0.8207,0.37668,0.605,0.41433,1.23566,0.70886,0.89582,2.64228e-05,2.64228e-05,2.64228e-05
