epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1710.83,1.36431,0.87999,0.92131,0.79898,0.46288,0.6412,0.43208,1.18332,0.81641,0.90001,0.0881818,0.00062201,0.00062201
2,3439.71,1.35854,0.86954,0.91982,0.81792,0.44467,0.64003,0.43123,1.22339,0.833,0.90626,0.0763049,0.00124511,0.00124511
3,5150.74,1.33925,0.85251,0.91513,0.77695,0.41094,0.60562,0.40103,1.25559,0.88746,0.91193,0.0644204,0.0018606,0.0018606
4,6867.54,1.35543,0.86426,0.91865,0.81933,0.38308,0.60819,0.40403,1.26666,0.89128,0.91853,0.0525227,0.00246286,0.00246286
5,8585.55,1.35405,0.85489,0.91607,0.78821,0.39688,0.6015,0.39178,1.30722,0.92943,0.92488,0.0406062,0.00304637,0.00304637
6,10296.8,1.35255,0.86318,0.91727,0.77268,0.468,0.63478,0.40796,1.26263,0.8581,0.91134,0.0286656,0.00360582,0.00360582
7,12001.9,1.38101,0.88967,0.92341,0.71863,0.29369,0.5104,0.33341,1.39032,1.07251,0.94689,0.0166959,0.00413613,0.00413613
8,13716.6,1.40115,0.90565,0.92707,0.78261,0.4321,0.61512,0.40005,1.23805,0.86235,0.91007,0.00469232,0.00463251,0.00463251
9,15426.9,1.42111,0.92683,0.9329,0.71027,0.34526,0.53316,0.34335,1.37252,1.03171,0.9371,0.00452732,0.00452732,0.00452732
10,17135.5,1.40824,0.927,0.93204,0.76637,0.40091,0.58838,0.3857,1.25378,0.89045,0.90802,0.004407,0.004407,0.004407
11,18841.9,1.42571,0.94072,0.93209,0.73993,0.32999,0.54174,0.3604,1.33247,1.00092,0.93515,0.00427509,0.00427509,0.00427509
12,20546.5,1.41908,0.92911,0.932,0.76827,0.37375,0.58012,0.37234,1.33137,0.95052,0.92725,0.00413238,0.00413238,0.00413238
13,22258.9,1.40353,0.93123,0.93033,0.78723,0.41882,0.60936,0.39526,1.25457,0.88827,0.90983,0.00397977,0.00397977,0.00397977
14,23969.8,1.39503,0.91497,0.92801,0.76232,0.41486,0.60004,0.3885,1.30018,0.87386,0.9193,0.00381818,0.00381818,0.00381818
15,25685.7,1.39516,0.91081,0.9288,0.79117,0.35066,0.57506,0.3814,1.29348,0.95609,0.92836,0.00364863,0.00364863,0.00364863
16,27402.1,1.39311,0.90977,0.92523,0.76019,0.35326,0.56062,0.35931,1.33439,0.91931,0.9343,0.00347214,0.00347214,0.00347214
17,29104.5,1.36166,0.88607,0.92383,0.75485,0.45288,0.61497,0.4008,1.26251,0.89362,0.91562,0.00328982,0.00328982,0.00328982
18,30816.1,1.38864,0.89677,0.92328,0.79898,0.39649,0.6067,0.39451,1.25335,0.89705,0.91261,0.00310278,0.00310278,0.00310278
19,32529,1.36508,0.87418,0.91925,0.77166,0.47121,0.63536,0.42078,1.2073,0.83894,0.90419,0.00291218,0.00291218,0.00291218
20,34239.9,1.35611,0.86079,0.91784,0.78297,0.42548,0.61168,0.40541,1.24661,0.89456,0.91098,0.00271919,0.00271919,0.00271919
21,35963.8,1.35353,0.8654,0.92019,0.78589,0.46144,0.63697,0.41921,1.22318,0.84006,0.90865,0.002525,0.002525,0.002525
