epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2623.86,1.34282,0.83335,0.91451,0.8248,0.46544,0.66076,0.44529,1.24819,0.93429,0.91693,0.0881478,0.000623798,0.000623798
2,5224.29,1.3411,0.83451,0.91656,0.84662,0.45495,0.66238,0.44958,1.2584,0.94053,0.92004,0.0762709,0.00124689,0.00124689
3,7826.46,1.35232,0.83946,0.91425,0.84395,0.44488,0.65415,0.43861,1.28336,0.94722,0.92451,0.0643864,0.00186238,0.00186238
4,10436.3,1.38682,0.86105,0.92011,0.83044,0.47252,0.66462,0.44782,1.25059,0.93569,0.91927,0.0524887,0.00246462,0.00246462
5,13034,1.37143,0.85723,0.9212,0.80634,0.40227,0.61666,0.40616,1.31702,1.01445,0.92657,0.0405722,0.00304812,0.00304812
6,15643.6,1.3912,0.87629,0.9239,0.82854,0.44233,0.64355,0.42903,1.26032,0.98315,0.91971,0.0286316,0.00360754,0.00360754
7,18246.2,1.42597,0.9145,0.93162,0.7811,0.43811,0.62236,0.40845,1.26969,0.96158,0.92245,0.0166619,0.00413782,0.00413782
8,20850.3,1.44172,0.93106,0.93602,0.78361,0.43538,0.62047,0.40702,1.27517,0.97252,0.92682,0.00465821,0.00463417,0.00463417
9,23458.5,1.45533,0.94535,0.93692,0.77628,0.43285,0.61225,0.40408,1.2237,0.87137,0.91104,0.00452732,0.00452732,0.00452732
10,26066.1,1.46398,0.96558,0.94087,0.81949,0.40048,0.61597,0.40117,1.338,0.96244,0.93687,0.004407,0.004407,0.004407
11,28671.5,1.44556,0.95118,0.9393,0.80469,0.44947,0.64079,0.42432,1.23441,0.90174,0.91394,0.00427509,0.00427509,0.00427509
12,31278,1.44087,0.94121,0.93603,0.79785,0.4207,0.61773,0.40342,1.25348,0.92887,0.92188,0.00413238,0.00413238,0.00413238
13,33861.6,1.4276,0.93117,0.93546,0.79819,0.42958,0.62274,0.4081,1.29137,0.94395,0.92488,0.00397977,0.00397977,0.00397977
14,36463.3,1.44596,0.94483,0.93556,0.80377,0.40745,0.61334,0.409,1.26187,0.94011,0.92301,0.00381818,0.00381818,0.00381818
15,39056.3,1.4419,0.94193,0.93432,0.80137,0.42209,0.62231,0.4164,1.25045,0.93166,0.92042,0.00364863,0.00364863,0.00364863
16,41648.8,1.43095,0.92696,0.9351,0.84413,0.47126,0.6683,0.44651,1.23446,0.88902,0.91722,0.00347214,0.00347214,0.00347214
17,44260.7,1.41345,0.90387,0.92799,0.82211,0.44079,0.64309,0.43024,1.25571,0.90514,0.92226,0.00328982,0.00328982,0.00328982
18,46858,1.41983,0.91274,0.93027,0.79701,0.45663,0.64044,0.42207,1.25212,0.89056,0.91989,0.00310278,0.00310278,0.00310278
19,49455.3,1.39306,0.88739,0.92788,0.81146,0.45352,0.6461,0.43308,1.23253,0.91599,0.91354,0.00291218,0.00291218,0.00291218
20,52059.6,1.38228,0.8774,0.92325,0.81848,0.44414,0.64129,0.42903,1.26938,0.9706,0.92441,0.00271919,0.00271919,0.00271919
21,54655.9,1.3704,0.86255,0.92247,0.8089,0.47122,0.65645,0.43633,1.25123,0.92477,0.92308,0.002525,0.002525,0.002525
