epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,464.958,2.40753,2.31857,1.23262,0.29696,0.05556,0.17464,0.10832,1.93673,1.91303,1.07725,0.0836589,0.000131783,0.000131783
2,928.086,1.95616,1.5949,1.08495,0.42391,0.07663,0.24972,0.16716,1.6573,1.39196,1.02116,0.0671245,0.000264072,0.000264072
3,1387.19,1.81644,1.40605,1.03968,0.3904,0.14069,0.26637,0.1729,1.61664,1.3047,1.00234,0.050586,0.000392197,0.000392197
4,1847.24,1.8126,1.41612,1.04105,0.42523,0.11884,0.2647,0.16829,1.55048,1.43912,1.00332,0.0340403,0.00051313,0.00051313
5,2302.65,1.74845,1.3049,1.02613,0.48131,0.15482,0.31408,0.20236,1.58563,1.19099,0.99532,0.0174845,0.000624022,0.000624022
6,2762.11,1.715,1.25002,1.0217,0.46073,0.12189,0.29078,0.19496,1.53853,1.17554,0.98551,0.000916079,0.000722281,0.000722281
7,3219.34,1.72373,1.25242,1.01399,0.4585,0.18721,0.32506,0.21363,1.48029,1.07876,0.98033,0.000691696,0.000691696,0.000691696
8,3677.14,1.66837,1.17935,1.00729,0.48677,0.13055,0.3074,0.18523,1.87615,1.28063,1.07189,0.000655115,0.000655115,0.000655115
9,4134.89,1.65964,1.1648,0.9931,0.65806,0.17452,0.41546,0.2855,1.46468,1.01177,0.97123,0.000614516,0.000614516,0.000614516
10,4593.49,1.63073,1.14226,0.99185,0.51627,0.20302,0.36368,0.25148,1.3913,0.99919,0.95409,0.000570541,0.000570541,0.000570541
11,5051.45,1.55878,1.08693,0.98045,0.51534,0.19046,0.35444,0.2416,1.41412,0.95892,0.957,0.000523883,0.000523883,0.000523883
12,5511.34,1.54225,1.05025,0.96946,0.73236,0.21667,0.47381,0.33143,1.39068,1.00986,0.95555,0.000475278,0.000475278,0.000475278
13,5967.47,1.52941,1.0517,0.97165,0.57516,0.19678,0.38851,0.24916,1.37068,0.95253,0.94945,0.000425491,0.000425491,0.000425491
14,6423.6,1.50999,1.01924,0.96879,0.56403,0.21283,0.38874,0.26962,1.33622,0.91612,0.93293,0.000375309,0.000375309,0.000375309
15,6877.99,1.49536,1.00569,0.96098,0.69713,0.20503,0.4508,0.30129,1.30493,0.87834,0.93102,0.000325522,0.000325522,0.000325522
16,7327.11,1.39812,0.93822,0.96136,0.69436,0.20863,0.45108,0.31277,1.32048,0.8945,0.93404,0.000276917,0.000276917,0.000276917
17,7775.87,1.37758,0.90329,0.95309,0.69457,0.21886,0.45938,0.31485,1.30254,0.87045,0.92967,0.000230259,0.000230259,0.000230259
18,8225.99,1.38153,0.90927,0.95569,0.65493,0.23804,0.44631,0.31174,1.30586,0.84029,0.93054,0.000186284,0.000186284,0.000186284
19,8674.17,1.34872,0.86978,0.94696,0.69593,0.23863,0.46814,0.32122,1.31278,0.83359,0.92796,0.000145685,0.000145685,0.000145685
20,9126.28,1.33214,0.84856,0.94042,0.6744,0.25004,0.46215,0.31695,1.28072,0.81555,0.9214,0.000109104,0.000109104,0.000109104
21,9579.11,1.33767,0.85193,0.94065,0.75488,0.2557,0.50598,0.33423,1.28971,0.81206,0.9224,7.71168e-05,7.71168e-05,7.71168e-05
22,10029.9,1.28135,0.80893,0.93275,0.7648,0.26689,0.51604,0.3441,1.26183,0.7991,0.91795,5.02279e-05,5.02279e-05,5.02279e-05
23,10480.2,1.28956,0.80903,0.92518,0.71146,0.26153,0.48731,0.33438,1.24777,0.79134,0.91542,2.88613e-05,2.88613e-05,2.88613e-05
24,10934.6,1.31145,0.82489,0.93485,0.71392,0.27156,0.49337,0.33379,1.24869,0.78755,0.91532,1.33542e-05,1.33542e-05,1.33542e-05
25,11381.6,1.28037,0.80506,0.92943,0.70425,0.2732,0.48899,0.3308,1.24749,0.78782,0.91477,3.95097e-06,3.95097e-06,3.95097e-06
